"skill","ai_score","software_score","robot_score"
"Oral Comprehension","0.247728112637847","-0.701811620889095","-3.17854197460213"
"Written Comprehension","0.206553569865903","-0.654061164812231","-2.95786101836749"
"Oral Expression","0.0980270238964814","-0.804310506800881","-3.26445873410903"
"Written Expression","0.14802447790042","-0.580336679719559","-2.57828146494077"
"Fluency of Ideas","0.344813302813348","-0.599181230853322","-2.72664486202706"
"Originality","0.318751803910844","-0.592967028929144","-2.60876424410053"
"Problem Sensitivity","0.713357327420159","-0.262871055310289","-2.41183622682799"
"Deductive Reasoning","0.558297122933073","-0.547386038778887","-2.92622014888879"
"Inductive Reasoning","0.488157937209172","-0.520964100379447","-2.75375307343625"
"Information Ordering","1.02627638310738","-0.24936484462038","-3.29000183632432"
"Category Flexibility","0.969307214824762","-0.377838020904743","-3.39575307202767"
"Mathematical Reasoning","0.525312056867755","-0.193244561694796","-1.87285772433105"
"Number Facility","0.596133497791221","-0.185066655704752","-2.02415457932603"
"Memorization","0.194976188912863","-0.566003404349637","-3.01617460617891"
"Speed of Closure","0.740086466490507","-0.025065625088208","-1.8692185830367"
"Flexibility of Closure","1.17904721189418","0.355641147005857","-1.22771191407674"
"Perceptual Speed","1.37950011113893","1.25508017656507","0.741534095484448"
"Spatial Orientation","0.249001362395119","0.686205237983142","2.21416577169777"
"Visualization","0.827003064637077","0.60995056399089","0.86017582380667"
"Selective Attention","1.44663347243073","1.26260701445415","0.171112048305611"
"Time Sharing","0.46000619825803","0.310506811685907","-0.150469320706989"
"Arm-Hand Steadiness","0.159549160308335","0.508262722704904","1.47033987793999"
"Manual Dexterity","0.115281232987032","0.54324777644194","1.65985576116128"
"Finger Dexterity","0.4250249644024","0.720217876875594","1.70188373668861"
"Control Precision","0.265354715373777","0.670493561479632","1.72862626656969"
"Multilimb Coordination","0.140673709233123","0.544857725415926","1.77630666168279"
"Response Orientation","0.245100430582007","0.702466597464076","1.90810574446199"
"Rate Control","0.279430621406349","0.776893742607967","2.15025241181194"
"Reaction Time","0.251271906860267","0.658898168934843","1.76318109517487"
"Wrist-Finger Speed","0.259153339708813","0.759141367406792","2.07532915739942"
"Speed of Limb Movement","0.0202064297859412","0.584093726884897","2.234016218367"
"Static Strength","-0.0307195671787072","0.396842570320224","1.65960346165526"
"Explosive Strength","-0.206981453280438","0.103376712618709","1.232706740464"
"Dynamic Strength","-0.0336545417011379","0.460272353276739","2.00558386560028"
"Trunk Strength","-0.173569016988366","0.313467867884793","1.76311542918685"
"Stamina","-0.0773208256510157","0.408338765942159","1.81973161130097"
"Extent Flexibility","-0.00339751776668075","0.402394566252429","1.64127380931518"
"Dynamic Flexibility","-0.627979177742143","0.185272727907085","3.014107660605"
"Gross Body Coordination","-0.0343529705933266","0.434729231470338","1.83411355262334"
"Gross Body Equilibrium","0.0732191270747387","0.522615006113017","2.02943866848522"
"Near Vision","0.626829064975349","-0.509304502320198","-3.46952516085456"
"Far Vision","0.741724278038984","0.52666401077966","0.580128538075588"
"Visual Color Discrimination","0.734973244023848","0.765509786301472","1.22517563523357"
"Night Vision","0.320568275010409","0.862236205408546","2.76004467338193"
"Peripheral Vision","0.240943812158439","0.819673087011751","2.71838215723409"
"Depth Perception","0.509470610040502","0.858163682516385","2.22078536895063"
"Glare Sensitivity","0.24323736113212","0.703534829499882","2.26970258421914"
"Hearing Sensitivity","0.608129224273907","0.963748585021805","1.93558724602126"
"Auditory Attention","0.493747788947404","0.981222185841173","2.19590389341527"
"Sound Localization","0.304875277502393","0.89717780690269","2.73750890088387"
"Speech Recognition","-0.176307256112856","-1.11923718641998","-4.02172225988029"
"Speech Clarity","-0.332365750968658","-1.00864751772659","-3.07262548252843"
"Required Level of Education","-0.158180409045294","-0.365036406460044","-0.726909051847916"
"Related Work Experience","0.14495461062666","-0.386982144398617","-1.46445223937112"
"On-Site or In-Plant Training","0.705223038316523","-0.211742975939124","-0.257272828346375"
"On-the-Job Training","0.195660985547513","-0.756760728372319","-1.27357768510042"
"Realistic","0.166039326494996","0.348603160937546","0.936798913572595"
"Investigative","0.181533331098835","-0.0326052484318839","-0.461440692603945"
"Artistic","-0.116387899705285","-0.291675852016347","-0.806672179266423"
"Social","-0.261991009978663","-0.355421572168337","-0.695662834967222"
"Enterprising","-0.0620404747164514","-0.2539214655699","-0.763327024172421"
"Conventional","0.0130320233852589","0.019737641632553","-0.22942740642774"
"First Interest High-Point","-0.191023300363433","-0.327251701772199","-0.893095862887702"
"Second Interest High-Point","-0.0350522890847661","0.0628276649965349","0.267256501091809"
"Third Interest High-Point","0.0645170914476089","-0.0317466347072477","-0.224443730698881"
"Administration and Management","0.374282066319994","-0.231454770275511","-1.35122001158308"
"Clerical","0.0225072239031446","-0.347780234538392","-1.63002642487903"
"Economics and Accounting","0.127755876995385","-0.35944031146993","-1.31332118856099"
"Sales and Marketing","-0.0363330456777443","-0.383562864914734","-1.0532091706315"
"Customer and Personal Service","-0.104873627455026","-0.376328957655398","-1.10377658120149"
"Personnel and Human Resources","0.156246631477386","-0.351467757097978","-1.33114650748758"
"Production and Processing","0.484823377974956","0.538381021711453","0.717205207941968"
"Food Production","-0.00387264264514895","0.0127071088373225","0.230758074455072"
"Computers and Electronics","0.254391786640495","-0.117217081078271","-1.40953672147091"
"Engineering and Technology","0.453017494115264","0.330535061805339","0.235604247273547"
"Design","0.384225492362758","0.244820629478348","0.179728421781054"
"Building and Construction","0.260069405661413","0.28346758574971","0.821670238567313"
"Mechanical","0.318684976699379","0.457617530338087","1.02787565602706"
"Mathematics","0.525681665391211","-0.115010009967159","-1.55077339188247"
"Physics","0.408927753371814","0.311526112865072","0.259811026831288"
"Chemistry","0.271290400952549","0.209310679017486","0.238477072180066"
"Biology","0.11002045025862","-0.103262581108164","-0.564626681038154"
"Psychology","-0.150931613278427","-0.405679930151297","-1.06560679357469"
"Sociology and Anthropology","-0.196356214237883","-0.504236481999646","-1.3209474155765"
"Geography","0.103543301691096","-0.143655288008204","-0.722714223933018"
"Medicine and Dentistry","-0.0629376307459338","-0.175386118979833","-0.445280508817194"
"Therapy and Counseling","-0.196774164341604","-0.373879333898657","-0.85122954781575"
"Education and Training","0.00738862343412628","-0.35845125320098","-1.12942646526021"
"English Language","-0.0264596426597773","-0.555800340690487","-1.89116065096648"
"Foreign Language","-0.295926066383885","-0.644342988675898","-1.48045838507172"
"Fine Arts","-0.244150894976737","-0.294481305789279","-0.782347555970461"
"History and Archeology","-0.264827276277016","-0.506900695099877","-1.18675017493765"
"Philosophy and Theology","-0.312218841888827","-0.527296073831403","-1.27998557212718"
"Public Safety and Security","0.310902746383077","0.30421673580938","0.601020596773177"
"Law and Government","0.160284833740075","-0.308719582871144","-1.19062640246056"
"Telecommunications","0.303730597921758","0.156207482462243","-0.586049810489784"
"Communications and Media","-0.0977615496368475","-0.468694010344371","-1.73439203817209"
"Transportation","0.239570042067294","0.321552100924667","0.93698515268643"
"Reading Comprehension","0.203159178320829","-0.57554684137032","-2.71049298914482"
"Active Listening","0.121434808121907","-0.879667915016876","-3.57028405372753"
"Writing","0.134020888585115","-0.625640478184878","-2.66129876080533"
"Speaking","0.0390381274596285","-0.876093761858764","-3.2603548677706"
"Science","0.336316234239298","-0.0504565199320158","-0.845501725748227"
"Critical Thinking","0.377116147064462","-0.685319953163328","-3.41051447389988"
"Active Learning","0.283126406992763","-0.636218267986107","-2.71455537423906"
"Learning Strategies","0.043085318756555","-0.642574541439169","-2.29654114004931"
"Monitoring","0.524042920632388","-0.454697352044706","-3.01897116328397"
"Social Perceptiveness","-0.132382799854389","-1.01425930961471","-3.28998544167331"
"Coordination","0.438932404213984","-0.557580170947159","-2.53391181781189"
"Persuasion","0.124947246200229","-0.878738274644777","-3.06359658811195"
"Negotiation","0.104138670622418","-0.829329849586812","-2.98679726203052"
"Instructing","0.112688225635671","-0.568126730110767","-2.18202995998656"
"Service Orientation","-0.363638414721349","-1.1758908394267","-3.24113802443046"
"Complex Problem Solving","0.642340002677265","-0.480621843662602","-2.89384509049056"
"Operations Analysis","0.38883467149831","-0.193867140885054","-1.348382821325"
"Technology Design","0.791660569141588","0.275089065117464","-0.687789162400294"
"Equipment Selection","0.403978028506482","0.747122972533607","1.70567095356436"
"Installation","0.271108796737542","0.482924724224203","1.30563884906548"
"Programming","0.626398449585792","0.0337216819241042","-1.54375868790753"
"Operation Monitoring","0.6959318093741","0.983124376578061","1.70551631745256"
"Operation and Control","0.436429446588354","0.794342419255124","1.71845364164801"
"Equipment Maintenance","0.277717244114326","0.661797082251006","1.63773529920591"
"Troubleshooting","0.465052659568924","0.728771974380484","1.5718931447877"
"Repairing","0.263842425927771","0.631734386824463","1.5885292620929"
"Quality Control Analysis","0.646619501266003","0.774988869948812","1.35815427335212"
"Judgment and Decision Making","0.497979872927453","-0.603905954001821","-3.03449637226642"
"Systems Analysis","0.490550562457817","-0.324584816677852","-2.26067024366746"
"Systems Evaluation","0.442746408423335","-0.321274684746465","-2.07597138994643"
"Time Management","0.35095116331994","-0.780225067103476","-3.51713611576214"
"Management of Financial Resources","0.34743052081101","-0.225018155006438","-1.34973103698651"
"Management of Material Resources","0.35290352849513","-0.177427705891679","-1.27103518548541"
"Management of Personnel Resources","0.412689098828433","-0.325790033338904","-2.05234528922563"
"Getting Information","0.276910485771788","-0.319542260964617","-1.84437817688646"
"Monitor Processes, Materials, or Surroundings","0.519010642666381","0.396650187383901","0.0786203673200401"
"Identifying Objects, Actions, and Events","0.332666760873261","-0.101695535527055","-1.15306787454599"
"Inspecting Equipment, Structures, or Material","0.435815483428777","0.707025143232246","1.5315071758372"
"Estimating the Quantifiable Characteristics of Products, Events, or Information","0.640467645709423","0.249062688608969","-0.334823071334318"
"Judging the Qualities of Things, Services, or People","0.266743515068582","-0.270586506114662","-1.2789069059117"
"Processing Information","0.33275424481047","-0.151783928980835","-1.45774906233407"
"Evaluating Information to Determine Compliance with Standards","0.387300717379341","-0.0146174594203319","-0.911211252315284"
"Analyzing Data or Information","0.316739271235012","-0.176321545005959","-1.29922025975542"
"Making Decisions and Solving Problems","0.408464385856403","-0.129838208323708","-1.24180440106734"
"Thinking Creatively","0.140071347061925","-0.282329082106785","-1.20139180601696"
"Updating and Using Relevant Knowledge","0.233479526497571","-0.266610344656074","-1.5764524279566"
"Developing Objectives and Strategies","0.163763191509319","-0.343540888459325","-1.35795753936712"
"Scheduling Work and Activities","0.238551264775525","-0.280151456362868","-1.34899253144592"
"Organizing, Planning, and Prioritizing Work","0.180710938533978","-0.412613595428608","-1.86243579592123"
"Performing General Physical Activities","0.0374584680946795","0.333168539034399","1.25089206446335"
"Handling and Moving Objects","0.0193617529251096","0.361790880399488","1.26090812617418"
"Controlling Machines and Processes","0.221944488022032","0.558712007592439","1.33442787079943"
"Operating Vehicles, Mechanized Devices, or Equipment","0.203735080296657","0.566091506324936","1.72536275496942"
"Interacting With Computers","0.252455796012811","-0.118498862270633","-1.56692863318927"
