SOC,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
11-1011,0.791775,0.799348,0.771251,0.731448,0.787134,0.777858,0.775905,0.850251,0.850251,0.850251,0.850251,0.856004,0.856004,0.856004
11-2011,0.740444,0.748221,0.772687,0.778229,0.833225,0.825922,0.822003,0.832084,0.832084,0.832084,0.832084,0.832084,0.832084,0.832084
11-2021,0.764087,0.800983,0.777433,0.778374,0.818528,0.824061,0.820803,0.853147,0.853147,0.853147,0.853147,0.853147,0.855029,0.855029
11-2022,0.735577,0.743134,0.721461,0.725182,0.773225,0.789994,0.785369,0.814570,0.814570,0.814570,0.814570,0.814570,0.814570,0.846313
11-3011,0.742332,0.748252,0.728684,0.728941,0.767984,0.761368,0.767730,0.816621,0.816621,0.816621,0.816621,0.816621,0.816621,0.816621
11-3021,0.729174,0.732078,0.708817,0.704110,0.739128,0.736681,0.727968,0.761390,0.761390,0.761390,0.761390,0.761390,0.761390,0.794275
11-3031,0.776306,0.784891,0.748689,0.771652,0.820149,0.811414,0.807827,0.872074,0.872074,0.876596,0.876596,0.876596,0.876596,0.876596
11-3051,0.657989,0.665413,0.641855,0.640390,0.680063,0.684042,0.681313,0.716142,0.716142,0.716142,0.725248,0.725248,0.725248,0.725248
11-3061,0.782570,0.672829,0.651088,0.650731,0.691595,0.682867,0.756725,0.815076,0.815076,0.815076,0.815076,0.815076,0.815076,0.815076
11-3071,0.748101,0.725081,0.701571,0.705246,0.754798,0.748830,0.768857,0.818805,0.818805,0.818805,0.818805,0.801712,0.801712,0.801712
11-3111,0.756611,0.765312,0.769227,0.770189,0.816417,0.879463,0.878011,0.906214,0.906214,0.906214,0.906214,0.906214,0.906214,0.906214
11-3121,0.756611,0.803578,0.783463,0.789258,0.850944,0.847573,0.845661,0.878468,0.878468,0.878468,0.878468,0.878468,0.878468,0.878468
11-3131,0.723521,0.764165,0.743591,0.745400,0.793830,0.810376,0.805670,0.836623,0.836623,0.836623,0.836623,0.836623,0.836623,0.836623
11-9013,0.634249,0.641154,0.618487,0.619084,0.613521,0.606744,0.605171,0.644635,0.696728,0.696728,0.696728,0.696728,0.696728,0.696728
11-9021,0.708959,0.710085,0.649867,0.650520,0.684828,0.712988,0.709987,0.741652,0.741652,0.741652,0.742582,0.742582,0.742582,0.742582
11-9031,0.749211,0.756763,0.735771,0.734642,0.767814,0.762296,0.761146,0.830201,0.830201,0.830201,0.830201,0.830201,0.830201,0.830201
11-9032,0.749211,0.756763,0.771841,0.769101,0.800548,0.792174,0.789050,0.823323,0.823323,0.823323,0.823323,0.823323,0.823323,0.823323
11-9033,0.773570,0.782118,0.786061,0.782986,0.819527,0.810572,0.807436,0.875088,0.875088,0.875088,0.875088,0.875088,0.875088,0.875088
11-9041,0.654155,0.688312,0.664113,0.665837,0.713608,0.754405,0.747729,0.780952,0.780952,0.756918,0.756918,0.756918,0.756918,0.756918
11-9051,0.678855,0.657723,0.637670,0.638482,0.676644,0.701403,0.697609,0.721559,0.721559,0.721559,0.721559,0.721559,0.721559,0.721559
11-9071,0.736953,0.741842,0.711684,0.692837,0.736246,0.728220,0.726300,0.778084,0.778084,0.778084,0.778084,0.778370,0.778370,0.778370
11-9081,0.620862,0.790067,0.772208,0.773710,0.807484,0.800168,0.797827,0.762034,0.762034,0.762034,0.762034,0.762034,0.762034,0.762034
11-9111,0.733943,0.741481,0.718732,0.717508,0.753448,0.823288,0.819683,0.847433,0.847433,0.847433,0.847433,0.847433,0.847433,0.849060
11-9121,0.708647,0.717582,0.688156,0.696390,0.740080,0.732507,0.729456,0.799216,0.799216,0.799216,0.799216,0.816144,0.816144,0.816144
11-9131,0.809333,0.813855,0.739805,0.740630,0.777974,0.770047,0.767206,0.809462,0.809462,0.809462,0.809462,0.809462,0.809462,0.776390
11-9141,0.740164,0.746501,0.716398,0.726287,0.773073,0.765280,0.764244,0.838545,0.838545,0.838545,0.818688,0.818688,0.818688,0.818688
11-9151,0.751351,0.799987,0.779192,0.778419,0.824317,0.817533,0.782620,0.830636,0.830636,0.830636,0.830636,0.830636,0.830636,0.830636
13-1011,0.819282,0.824053,0.801731,0.802311,0.826674,0.819299,0.815211,0.861592,0.861592,0.861592,0.861592,0.861592,0.861592,0.861592
13-1021,0.679082,0.687996,0.660501,0.664122,0.700565,0.690696,0.688253,0.739753,0.739753,0.739753,0.769311,0.769311,0.769311,0.769311
13-1022,0.711993,0.721026,0.698305,0.703158,0.751960,0.742304,0.722055,0.782059,0.782059,0.782059,0.782059,0.782059,0.795680,0.795680
13-1023,0.792233,0.758394,0.733435,0.734094,0.784011,0.774712,0.770531,0.849133,0.824452,0.824452,0.824452,0.824452,0.824452,0.824452
13-1031,0.782882,0.784720,0.762324,0.764970,0.822425,0.819055,0.815128,0.821128,0.821128,0.821128,0.821128,0.821128,0.821128,0.821128
13-1032,0.710066,0.716779,0.680149,0.686755,0.731760,0.725342,0.718346,0.754667,0.754667,0.754667,0.754667,0.754667,0.754667,0.733468
13-1041,0.621247,0.630454,0.604701,0.602143,0.681094,0.675124,0.673134,0.705333,0.705333,0.705333,0.705333,0.708552,0.708552,0.708552
13-1051,0.699568,0.707839,0.683709,0.687282,0.740527,0.783117,0.778445,0.810606,0.810606,0.810606,0.810606,0.810606,0.810606,0.814009
13-1071,0.812210,0.793738,0.780720,0.777318,0.811736,0.804068,0.795221,0.850291,0.854863,0.873559,0.873559,0.873559,0.873559,0.873559
13-1111,0.736718,0.744835,0.718393,0.724271,0.756839,0.746024,0.742201,0.845349,0.845349,0.845349,0.845349,0.845349,0.845349,0.864040
13-1121,0.772799,0.750262,0.733052,0.734712,0.776339,0.731975,0.729137,0.756971,0.756971,0.756971,0.756971,0.756971,0.756971,0.761855
13-1141,0.727352,0.735185,0.778303,0.781087,0.840294,0.832151,0.825807,0.876579,0.876579,0.876579,0.876579,0.876579,0.876579,0.876579
13-1151,0.749341,0.756770,0.741120,0.743406,0.788926,0.835978,0.833988,0.859130,0.859130,0.859130,0.859130,0.867088,0.867088,0.867088
13-1161,0.723956,0.731222,0.802125,0.806499,0.855703,0.847308,0.821764,0.863997,0.863997,0.863997,0.863997,0.863997,0.863997,0.863997
13-2011,0.785572,0.794690,0.760431,0.759410,0.815649,0.804026,0.780816,0.857281,0.857281,0.857281,0.857281,0.857281,0.857281,0.857281
13-2021,0.740075,0.751136,0.688944,0.689467,0.738506,0.731355,0.729486,0.773144,0.756458,0.756458,0.756458,0.756458,0.756458,0.756458
13-2031,0.836669,0.836669,0.754604,0.756269,0.809943,0.852220,0.848603,0.876518,0.876518,0.876518,0.876518,0.876518,0.876518,0.873929
13-2041,0.743618,0.736054,0.708715,0.712471,0.780030,0.770281,0.789236,0.854652,0.854652,0.854652,0.854652,0.854652,0.854652,0.854652
13-2051,0.760472,0.770945,0.733157,0.779467,0.827159,0.817958,0.815823,0.882614,0.882614,0.882614,0.882614,0.882614,0.882614,0.854016
13-2052,0.786060,0.793891,0.760181,0.763385,0.858260,0.848815,0.846367,0.888100,0.888100,0.891249,0.891249,0.891249,0.891249,0.891249
13-2053,0.792442,0.781582,0.758364,0.763064,0.827487,0.821836,0.853585,0.880301,0.880301,0.880301,0.880301,0.880301,0.880301,0.880301
13-2061,0.736835,0.747055,0.713925,0.784355,0.837383,0.828978,0.824775,0.880649,0.880649,0.870742,0.870742,0.870742,0.870742,0.870742
13-2071,0.754781,0.764877,0.735887,0.775375,0.831465,0.824970,0.824411,0.848011,0.848011,0.848011,0.892282,0.892282,0.892282,0.892282
13-2072,0.754781,0.764877,0.823309,0.828819,0.884383,0.876087,0.874323,0.908482,0.887353,0.887353,0.887353,0.887353,0.887353,0.887353
13-2081,0.802070,0.807798,0.757336,0.761186,0.822737,0.814390,0.811439,0.848821,0.850388,0.850388,0.850388,0.850388,0.850388,0.850388
13-2082,0.761878,0.768776,0.727386,0.760926,0.825243,0.816281,0.813712,0.862050,0.862050,0.862050,0.851310,0.851310,0.851310,0.851310
15-1121,0.649124,0.657910,0.690355,0.687918,0.728207,0.717624,0.699925,0.763704,0.763704,0.763704,0.763704,0.763704,0.763704,0.763704
15-1131,0.673542,0.721840,0.696513,0.692735,0.732383,0.719870,0.717373,0.811631,0.811631,0.811631,0.811631,0.811631,0.811631,0.811631
15-1132,0.656298,0.665525,0.673915,0.672976,0.711960,0.700115,0.720326,0.790136,0.790136,0.790136,0.790136,0.790136,0.790136,0.784709
15-1133,0.656298,0.665525,0.685186,0.684152,0.720943,0.710038,0.696247,0.782731,0.782731,0.782731,0.803236,0.803236,0.803236,0.803236
15-1141,0.631510,0.710257,0.685488,0.683303,0.726202,0.744494,0.737067,0.779608,0.779608,0.779608,0.779608,0.779608,0.779608,0.772391
15-1142,0.661441,0.645011,0.621351,0.619586,0.666025,0.678892,0.668068,0.712393,0.712393,0.712393,0.712393,0.712393,0.712393,0.712393
15-1143,0.653252,0.658181,0.645320,0.641775,0.676222,0.666573,0.666955,0.729019,0.736353,0.736353,0.736353,0.736353,0.736353,0.736353
15-1151,0.630634,0.695264,0.678210,0.671268,0.716011,0.683453,0.674230,0.700326,0.700326,0.700326,0.700326,0.700326,0.700326,0.700326
15-2011,0.739283,0.747798,0.783885,0.786925,0.832432,0.821659,0.812068,0.882239,0.882239,0.882239,0.882239,0.882239,0.882239,0.882239
15-2021,0.750733,0.759212,0.707104,0.735915,0.792495,0.781078,0.777561,0.860584,0.860584,0.852678,0.852678,0.852678,0.852678,0.852678
15-2031,0.769649,0.773593,0.729900,0.730133,0.768936,0.755513,0.752228,0.843877,0.849749,0.849749,0.849749,0.849749,0.849749,0.849749
15-2041,0.725823,0.735093,0.693705,0.738854,0.793451,0.784433,0.779530,0.839318,0.839318,0.871165,0.871165,0.871165,0.871165,0.871165
15-2091,0.705387,0.713625,0.668599,0.677313,0.745532,0.733935,0.730767,0.787136,0.787136,0.787136,0.787136,0.787136,0.787136,0.787136
17-1011,0.691251,0.699955,0.685024,0.685332,0.729058,0.717671,0.718416,0.757779,0.757779,0.757779,0.757779,0.768070,0.768070,0.768070
17-1012,0.688628,0.696926,0.679853,0.679978,0.727980,0.717774,0.738887,0.777624,0.777624,0.777624,0.771388,0.771388,0.771388,0.771388
17-1021,0.567647,0.576154,0.642510,0.647321,0.705532,0.700322,0.697455,0.761574,0.761574,0.761574,0.761574,0.761574,0.761574,0.761574
17-1022,0.623313,0.630356,0.609298,0.611189,0.656722,0.655341,0.650801,0.674503,0.674503,0.674503,0.674503,0.674503,0.674503,0.674503
17-2011,0.649217,0.701692,0.666824,0.666125,0.723895,0.713637,0.688639,0.736953,0.736953,0.736953,0.736953,0.736953,0.748875,0.748875
17-2021,0.632576,0.640134,0.643752,0.641367,0.660746,0.651628,0.646448,0.719929,0.719929,0.719929,0.719929,0.719929,0.719929,0.719929
17-2041,0.594732,0.604716,0.622711,0.621403,0.661082,0.651600,0.678016,0.745164,0.745164,0.745164,0.745164,0.745164,0.745164,0.745164
17-2051,0.666496,0.674566,0.648685,0.649862,0.699269,0.707974,0.704651,0.743559,0.743559,0.743559,0.743559,0.756115,0.756115,0.756115
17-2061,0.656298,0.665525,0.634542,0.660112,0.696239,0.684996,0.676420,0.744034,0.744034,0.744034,0.726903,0.726903,0.726903,0.726903
17-2071,0.604265,0.684026,0.653128,0.652235,0.690795,0.681160,0.653166,0.712836,0.712836,0.712836,0.712836,0.712836,0.728410,0.728410
17-2072,0.613879,0.623291,0.608077,0.605807,0.645980,0.635014,0.627548,0.677151,0.677151,0.677151,0.677151,0.673737,0.673737,0.673737
17-2111,0.627223,0.634840,0.690510,0.688078,0.720812,0.712725,0.710496,0.720349,0.720349,0.720349,0.720349,0.720349,0.720349,0.720349
17-2112,0.687616,0.688455,0.662075,0.664395,0.700955,0.694371,0.690692,0.716740,0.716740,0.716740,0.716740,0.716740,0.716740,0.716740
17-2121,0.585401,0.589931,0.562686,0.598061,0.635848,0.627108,0.622340,0.674386,0.674386,0.674386,0.674386,0.674386,0.674386,0.663239
17-2131,0.643762,0.650229,0.615548,0.632641,0.676385,0.667902,0.667117,0.731976,0.731976,0.726972,0.726972,0.726972,0.726972,0.726972
17-2141,0.568892,0.631388,0.599846,0.603363,0.665040,0.653632,0.667374,0.705788,0.705788,0.705788,0.705788,0.705788,0.706131,0.706131
17-2151,0.632174,0.637346,0.641215,0.641745,0.680861,0.670973,0.668018,0.742695,0.742695,0.742695,0.742695,0.742695,0.742695,0.742695
17-2161,0.605714,0.610667,0.650144,0.648378,0.693028,0.682892,0.678330,0.730291,0.730291,0.730291,0.730291,0.730291,0.730291,0.730291
17-2171,0.568198,0.576847,0.659404,0.659651,0.702097,0.691531,0.688360,0.755200,0.755200,0.755200,0.755200,0.755200,0.755200,0.755200
17-3011,0.657130,0.665187,0.645587,0.648051,0.699569,0.689137,0.685053,0.720388,0.720388,0.720388,0.720388,0.720388,0.720388,0.720388
17-3012,0.593471,0.602769,0.571956,0.642424,0.690837,0.678263,0.671531,0.741282,0.741282,0.736803,0.736803,0.736803,0.736803,0.736803
17-3013,0.573426,0.611907,0.583309,0.585672,0.643302,0.632740,0.647197,0.718135,0.718135,0.718135,0.718135,0.718135,0.718135,0.718135
17-3021,0.538170,0.543698,0.513720,0.518494,0.630788,0.621183,0.616464,0.659343,0.659343,0.659343,0.659343,0.659343,0.659343,0.659343
17-3022,0.609910,0.664447,0.637839,0.644353,0.701728,0.693267,0.696123,0.732994,0.732994,0.732994,0.732994,0.732994,0.732994,0.732994
17-3023,0.514348,0.519705,0.588370,0.584836,0.620224,0.632312,0.621887,0.651180,0.651180,0.651180,0.654971,0.654971,0.654971,0.654971
17-3024,0.396353,0.403340,0.376336,0.376336,0.538355,0.529487,0.526483,0.568826,0.568826,0.568826,0.568826,0.568826,0.590011,0.590011
17-3026,0.605901,0.613307,0.638738,0.638394,0.683603,0.674656,0.672381,0.731169,0.702027,0.702027,0.702027,0.667904,0.667904,0.667904
17-3027,0.531145,0.564111,0.540666,0.542426,0.589985,0.581919,0.578785,0.608331,0.608331,0.608331,0.608331,0.608331,0.608331,0.608331
17-3031,0.589685,0.596774,0.558382,0.559286,0.602400,0.623151,0.619394,0.638761,0.638761,0.638761,0.638761,0.638761,0.638761,0.638761
19-1011,0.681200,0.691749,0.719031,0.716584,0.737585,0.756178,0.753067,0.782933,0.782933,0.782933,0.782933,0.782933,0.782933,0.762961
19-1012,0.678275,0.688697,0.657491,0.646046,0.685840,0.677610,0.676584,0.726046,0.726046,0.726046,0.726046,0.726046,0.726046,0.726046
19-1013,0.704587,0.716725,0.685167,0.708117,0.690955,0.684122,0.681457,0.734051,0.734051,0.731658,0.731658,0.748886,0.748886,0.748886
19-1020,0.703727,0.715112,0.694301,0.699424,0.749744,0.746920,0.743414,0.761332,0.761332,0.761332,0.761332,0.761332,0.761332,0.761332
19-1021,0.618498,0.630308,0.600596,0.604770,0.692526,0.683684,0.680806,0.733707,0.733707,0.750999,0.750999,0.750999,0.750999,0.750999
19-1022,0.626317,0.639458,0.641991,0.642595,0.684753,0.723520,0.720997,0.755649,0.755649,0.755649,0.755649,0.755649,0.755649,0.755649
19-1023,0.571383,0.704025,0.684340,0.680942,0.715876,0.707502,0.704465,0.720484,0.720484,0.720484,0.720484,0.720484,0.720484,0.720484
19-1031,0.676646,0.682770,0.653845,0.625152,0.659738,0.651092,0.648160,0.696048,0.706450,0.706450,0.706450,0.706450,0.706450,0.706450
19-1032,0.634488,0.642528,0.617999,0.617960,0.654733,0.645545,0.642722,0.697316,0.697316,0.697316,0.697316,0.697316,0.699559,0.699559
19-1041,0.686977,0.694154,0.764215,0.764260,0.804558,0.836921,0.833794,0.864508,0.864508,0.864508,0.864508,0.864508,0.864508,0.879612
19-1042,0.686977,0.694154,0.665065,0.720810,0.760343,0.752080,0.748176,0.801681,0.801681,0.805944,0.805944,0.805944,0.805944,0.805944
19-2011,0.615779,0.625404,0.586851,0.695789,0.735260,0.726142,0.722169,0.806517,0.808405,0.808405,0.808405,0.808405,0.808405,0.808405
19-2012,0.678352,0.687886,0.653262,0.656902,0.740920,0.733773,0.728101,0.784042,0.784042,0.784042,0.784042,0.784042,0.784042,0.784042
19-2021,0.675044,0.680951,0.653925,0.695304,0.739261,0.728642,0.724418,0.821822,0.821822,0.822852,0.822852,0.822852,0.822852,0.822852
19-2031,0.644708,0.660698,0.631522,0.630596,0.667358,0.657456,0.642523,0.693785,0.693785,0.693785,0.695104,0.695104,0.695104,0.695104
19-2032,0.644112,0.651148,0.616523,0.637982,0.673731,0.664348,0.662944,0.739032,0.739032,0.726482,0.726482,0.726482,0.726482,0.726482
19-2041,0.697313,0.677715,0.656124,0.658970,0.710056,0.701977,0.699836,0.738351,0.738351,0.738351,0.746953,0.746953,0.746953,0.746953
19-2042,0.626848,0.636105,0.673731,0.674639,0.719872,0.747234,0.742639,0.770757,0.770757,0.770757,0.738209,0.738209,0.738209,0.738209
19-2043,0.683249,0.694556,0.653316,0.682531,0.716342,0.708119,0.705110,0.713483,0.713483,0.713483,0.713483,0.713483,0.713483,0.713483
19-3011,0.770438,0.778031,0.739636,0.792955,0.842489,0.834094,0.831934,0.895296,0.895545,0.895545,0.895545,0.895545,0.895545,0.895545
19-3031,0.731163,0.742115,0.809452,0.810389,0.859569,0.854747,0.853513,0.887764,0.887764,0.887764,0.887764,0.887764,0.887764,0.887764
19-3032,0.810281,0.817970,0.782849,0.809331,0.850946,0.844351,0.842200,0.882023,0.882023,0.886230,0.886230,0.886230,0.886230,0.886230
19-3041,0.798309,0.807583,0.834727,0.833727,0.874119,0.869505,0.868368,0.921123,0.921123,0.921123,0.921123,0.921123,0.921123,0.907321
19-3051,0.734369,0.742948,0.724716,0.726089,0.775659,0.769953,0.783591,0.818534,0.818534,0.818534,0.818534,0.833632,0.833632,0.833632
19-3091,0.744699,0.755170,0.792757,0.788958,0.826091,0.819193,0.816693,0.869510,0.858319,0.858319,0.858319,0.858319,0.858319,0.858319
19-3092,0.613725,0.619618,0.752925,0.753084,0.785956,0.816642,0.813757,0.845389,0.845389,0.845389,0.845389,0.845389,0.845389,0.834986
19-3093,0.821187,0.827629,0.747141,0.744230,0.778110,0.770374,0.766442,0.816601,0.816601,0.816601,0.816601,0.816601,0.833486,0.833486
19-3094,0.817986,0.824231,0.834596,0.835827,0.880894,0.877059,0.875213,0.913815,0.913815,0.913815,0.913815,0.913815,0.913815,0.913815
19-4011,0.494768,0.506151,0.581538,0.581925,0.617364,0.610213,0.607092,0.657722,0.657722,0.657722,0.657722,0.674082,0.674082,0.674082
19-4021,0.494768,0.506151,0.565260,0.566721,0.621204,0.614944,0.637888,0.684523,0.684523,0.684523,0.684523,0.684523,0.684523,0.684523
19-4031,0.563658,0.615988,0.588507,0.588909,0.645002,0.636716,0.605464,0.655932,0.655932,0.655932,0.655932,0.656042,0.656042,0.656042
19-4041,0.548634,0.555996,0.529747,0.535410,0.653208,0.643086,0.639167,0.688037,0.688037,0.688037,0.688037,0.688037,0.688037,0.688037
19-4051,0.461045,0.467464,0.437496,0.535309,0.589204,0.583842,0.578353,0.600233,0.600233,0.600233,0.600233,0.600233,0.600233,0.600233
19-4061,0.724161,0.734174,0.703162,0.702873,0.775043,0.765900,0.762261,0.822341,0.822341,0.822341,0.822341,0.822341,0.822341,0.822341
19-4091,0.564555,0.641915,0.620159,0.622090,0.667250,0.621855,0.619924,0.647837,0.647837,0.647837,0.647837,0.647837,0.647837,0.674340
19-4092,0.561887,0.659916,0.637411,0.639402,0.684958,0.677369,0.645567,0.694261,0.694261,0.694261,0.671176,0.671176,0.671176,0.671176
21-1011,0.778157,0.783077,0.807310,0.803968,0.845353,0.838451,0.836888,0.826543,0.826543,0.826543,0.826543,0.833095,0.833095,0.833095
21-1012,0.822568,0.829829,0.821983,0.820016,0.860174,0.854032,0.851239,0.842298,0.842298,0.842298,0.842298,0.842298,0.842298,0.842298
21-1014,0.778157,0.824739,0.813052,0.808537,0.853105,0.847061,0.824249,0.861288,0.861288,0.861288,0.874664,0.874664,0.874664,0.874664
21-1021,0.813946,0.822232,0.810663,0.808996,0.860274,0.856012,0.807180,0.825772,0.825772,0.825772,0.825772,0.825772,0.825772,0.825772
21-1022,0.782818,0.792152,0.778883,0.775258,0.825863,0.825131,0.822625,0.846728,0.846728,0.846728,0.846728,0.851808,0.851808,0.851808
21-1023,0.789995,0.798171,0.781792,0.775522,0.816641,0.808882,0.797830,0.848267,0.848267,0.848267,0.848538,0.848538,0.848538,0.848538
21-1091,0.813641,0.817464,0.794559,0.739065,0.770776,0.763121,0.761158,0.799245,0.799245,0.838171,0.838171,0.838171,0.838171,0.838171
21-1092,0.804781,0.765892,0.751734,0.746695,0.782185,0.776570,0.772659,0.818432,0.811117,0.811117,0.811117,0.811117,0.811117,0.811117
21-1093,0.752551,0.757750,0.723705,0.723882,0.768966,0.731569,0.729193,0.751827,0.751827,0.751827,0.781693,0.781693,0.781693,0.781693
21-2011,0.844344,0.844344,0.830657,0.825984,0.771286,0.764529,0.761025,0.797046,0.797046,0.797046,0.797046,0.797046,0.852475,0.852475
21-2021,0.827814,0.831928,0.802163,0.799518,0.804660,0.800740,0.798866,0.834966,0.834966,0.834966,0.834966,0.834966,0.856257,0.856257
23-1011,0.835630,0.838326,0.795539,0.798671,0.853540,0.848136,0.845739,0.879218,0.879218,0.879218,0.879218,0.879218,0.879218,0.864385
23-1012,0.802848,0.808146,0.792419,0.794908,0.850597,0.845766,0.843692,0.851318,0.851318,0.851318,0.871049,0.871049,0.871049,0.871049
23-1021,0.807776,0.813541,0.792243,0.793310,0.844806,0.841191,0.836922,0.863741,0.864041,0.864041,0.864041,0.864041,0.864041,0.864041
23-1022,0.807776,0.813541,0.792243,0.788816,0.850954,0.846268,0.841921,0.864875,0.864875,0.895284,0.895284,0.895284,0.895284,0.895284
23-1023,0.765739,0.772461,0.797431,0.796714,0.842573,0.835680,0.832479,0.874084,0.877315,0.877315,0.877315,0.877315,0.877315,0.877315
23-2011,0.804601,0.753429,0.734401,0.739172,0.798423,0.792920,0.823345,0.863445,0.863445,0.863445,0.863445,0.863445,0.863445,0.863445
23-2093,0.717497,0.722969,0.702447,0.720786,0.797552,0.786648,0.784968,0.870585,0.870585,0.870585,0.870585,0.870585,0.870585,0.870585
25-1021,0.705915,0.712660,0.725419,0.724720,0.760469,0.750951,0.742913,0.806172,0.811526,0.811526,0.811526,0.811526,0.811526,0.811526
25-1022,0.793398,0.799129,0.756647,0.762290,0.817120,0.810455,0.807366,0.864027,0.873660,0.873660,0.873660,0.873660,0.873660,0.873660
25-1032,0.682818,0.688933,0.699689,0.698654,0.730610,0.721752,0.714188,0.775014,0.785964,0.785964,0.785964,0.785964,0.785964,0.785964
25-1041,0.773726,0.781072,0.730780,0.728665,0.755728,0.747943,0.744311,0.817272,0.805379,0.805379,0.805379,0.805379,0.805379,0.805379
25-1042,0.773726,0.781072,0.734065,0.733735,0.768886,0.761167,0.758855,0.827314,0.827737,0.827737,0.827737,0.827737,0.827737,0.827737
25-1043,0.773726,0.781072,0.737299,0.735053,0.763056,0.755801,0.752039,0.823233,0.836910,0.836910,0.836910,0.836910,0.836910,0.836910
25-1052,0.687665,0.695971,0.702203,0.703502,0.742914,0.735383,0.733385,0.797455,0.800397,0.800397,0.800397,0.800397,0.800397,0.800397
25-1054,0.700846,0.707846,0.707878,0.709565,0.744594,0.736774,0.730325,0.811096,0.809185,0.809185,0.809185,0.809185,0.809185,0.809185
25-1061,0.825730,0.828983,0.799471,0.800876,0.838585,0.833233,0.831167,0.879076,0.872360,0.872360,0.872360,0.872360,0.872360,0.872360
25-1062,0.825730,0.828983,0.823266,0.824414,0.865017,0.858712,0.856437,0.897366,0.894814,0.894814,0.894814,0.894814,0.894814,0.894814
25-1063,0.825730,0.828983,0.785458,0.788976,0.837900,0.832285,0.828930,0.870322,0.873676,0.873676,0.873676,0.873676,0.873676,0.873676
25-1065,0.825730,0.828983,0.827514,0.828496,0.868690,0.862661,0.859133,0.906103,0.904987,0.904987,0.904987,0.904987,0.904987,0.904987
25-1066,0.825730,0.828983,0.811319,0.810208,0.854085,0.847872,0.845468,0.900149,0.891040,0.891040,0.891040,0.891040,0.891040,0.891040
25-1067,0.825730,0.828983,0.823054,0.822962,0.866664,0.859714,0.857389,0.908262,0.921895,0.921895,0.921895,0.921895,0.921895,0.921895
25-1071,0.762822,0.769838,0.764916,0.763519,0.799437,0.792493,0.790218,0.852677,0.831343,0.831343,0.831343,0.831343,0.831343,0.831343
25-1072,0.675709,0.683335,0.759404,0.757642,0.795065,0.788614,0.785724,0.834352,0.804075,0.804075,0.804075,0.804075,0.804075,0.804075
25-1121,0.722970,0.726245,0.761945,0.762266,0.800348,0.794405,0.792088,0.835013,0.837737,0.837737,0.837737,0.837737,0.837737,0.837737
25-1123,0.824139,0.828323,0.823046,0.822501,0.864550,0.858205,0.855908,0.897129,0.913567,0.913567,0.913567,0.913567,0.913567,0.913567
25-1124,0.824139,0.828323,0.820262,0.819501,0.863318,0.858679,0.856249,0.897865,0.885006,0.885006,0.885006,0.885006,0.885006,0.885006
25-1125,0.825730,0.828983,0.825238,0.823612,0.864942,0.857771,0.854186,0.906257,0.907234,0.907234,0.907234,0.907234,0.907234,0.907234
25-1191,0.766160,0.772296,0.739602,0.741716,0.785750,0.777851,0.775068,0.816704,0.816704,0.816704,0.816704,0.816704,0.816704,0.820581
25-1194,0.719924,0.724352,0.691738,0.691101,0.724601,0.717022,0.713815,0.768071,0.767703,0.767703,0.767703,0.767703,0.767703,0.767703
25-2011,0.666929,0.674883,0.704171,0.704340,0.744635,0.739588,0.737670,0.760866,0.760866,0.760866,0.760866,0.760866,0.760866,0.760866
25-2012,0.645246,0.654024,0.733465,0.733055,0.771817,0.765642,0.763785,0.808798,0.808798,0.808798,0.808798,0.808798,0.808798,0.808798
25-2021,0.668916,0.678097,0.747579,0.747603,0.788768,0.782383,0.780325,0.829961,0.829961,0.829961,0.829961,0.829961,0.829961,0.829961
25-2022,0.756379,0.763207,0.740845,0.741548,0.780389,0.773355,0.770915,0.822165,0.822165,0.822165,0.822165,0.822165,0.822165,0.822165
25-2023,0.756379,0.763207,0.670898,0.669342,0.699765,0.692968,0.689569,0.740318,0.740318,0.723472,0.723472,0.723472,0.723472,0.723472
25-2031,0.756379,0.763207,0.733451,0.733042,0.769002,0.761965,0.758995,0.818033,0.818033,0.818033,0.818033,0.818033,0.818033,0.818033
25-2032,0.756379,0.763207,0.662259,0.660666,0.690490,0.683274,0.679109,0.733581,0.733581,0.733581,0.733581,0.733581,0.733581,0.733581
25-2053,0.773364,0.780630,0.746778,0.747859,0.789548,0.783419,0.781233,0.852718,0.852718,0.852718,0.852718,0.852718,0.852718,0.852718
25-2054,0.773364,0.780630,0.766185,0.766495,0.807923,0.801708,0.799695,0.817500,0.817500,0.817500,0.817500,0.817500,0.817500,0.817500
25-3011,0.760945,0.766019,0.766833,0.767525,0.810842,0.803870,0.801307,0.856921,0.856921,0.856921,0.856921,0.856921,0.856921,0.856921
