,job,length,course_name
0,25-1071,More than 4 years,Emergency Medical Technology/Technician (EMT Paramedic)
1,23-1011,More than 4 years,Law
2,25-1081,More than 4 years,"Education, General"
3,23-1022,More than 4 years,Law
4,25-1112,More than 4 years,Law
5,23-1012,More than 4 years,Law
6,23-1023,More than 4 years,Law
7,23-1021,More than 4 years,Law
8,11-9111,More than 4 years,Health/Health Care Administration/Management
9,21-1013,More than 4 years,Social Work
10,11-9039,More than 4 years,"Educational Leadership and Administration, General"
11,21-1022,More than 4 years,Social Work
12,21-1023,More than 4 years,Social Work
13,25-1113,More than 4 years,Social Work
14,21-1021,More than 4 years,Social Work
15,21-1092,More than 4 years,Social Work
16,11-9033,More than 4 years,"Educational Leadership and Administration, General"
17,11-9032,More than 4 years,"Educational Leadership and Administration, General"
18,29-1062,More than 4 years,Medicine
19,29-1069,More than 4 years,Medicine
20,11-9031,More than 4 years,"Educational Leadership and Administration, General"
21,25-9031,More than 4 years,Curriculum and Instruction
22,29-1171,More than 4 years,Family Practice Nurse/Nursing
23,29-1051,More than 4 years,Pharmacy
24,11-1031,More than 4 years,Public Administration
25,25-2052,More than 4 years,"Special Education and Teaching, General"
26,25-2051,More than 4 years,"Special Education and Teaching, General"
27,25-2059,More than 4 years,"Special Education and Teaching, General"
28,25-2054,More than 4 years,"Special Education and Teaching, General"
29,25-2053,More than 4 years,"Special Education and Teaching, General"
30,21-1012,More than 4 years,Counselor Education/School Counseling and Guidance Services
31,11-9131,More than 4 years,Public Administration
32,21-2011,More than 4 years,Divinity/Ministry
33,29-1123,More than 4 years,Physical Therapy/Therapist
34,17-2199,More than 4 years,"Engineering, General"
35,29-1071,More than 4 years,Physician Assistant
36,29-1122,More than 4 years,Occupational Therapy/Therapist
37,21-1014,More than 4 years,Mental Health Counseling/Counselor
38,29-1021,More than 4 years,Dentistry
39,25-3011,More than 4 years,Teaching English as a Second or Foreign Language/ESL Language Instructor
40,25-4021,More than 4 years,Library and Information Science
41,25-1082,More than 4 years,Library and Information Science
42,25-9011,More than 4 years,Educational/Instructional Technology
43,15-2031,More than 4 years,Management Science
44,29-1131,More than 4 years,Veterinary Medicine
45,19-1041,More than 4 years,Epidemiology
46,19-3051,More than 4 years,"City/Urban, Community and Regional Planning"
47,29-1011,More than 4 years,Chiropractic
48,29-1199,More than 4 years,Acupuncture and Oriental Medicine
49,29-1151,More than 4 years,Nurse Anesthetist
50,11-9161,More than 4 years,Homeland Security
51,29-1041,More than 4 years,Optometry
52,25-3021,More than 4 years,Adult and Continuing Education and Teaching
53,29-9012,More than 4 years,Environmental Health
54,29-1081,More than 4 years,Podiatric Medicine/Podiatry
55,29-1161,More than 4 years,Nurse Midwife/Nursing Midwifery
56,19-2032,More than 4 years,Materials Science
57,29-2091,More than 4 years,Orthotist/Prosthetist
58,51-9082,More than 4 years,Orthotist/Prosthetist
59,29-9099,More than 4 years,Traditional Chinese Medicine and Chinese Herbology
60,29-9092,More than 4 years,Genetic Counseling/Counselor
61,31-1014,Less than one year,Nursing Assistant/Aide and Patient Care Assistant/Aide
62,51-4121,Less than one year,Welding Technology/Welder
63,51-4122,Less than one year,Welding Technology/Welder
64,25-1194,Less than one year,Truck and Bus Driver/Commercial Vehicle Operator and Instructor
65,53-3021,Less than one year,Truck and Bus Driver/Commercial Vehicle Operator and Instructor
66,53-3022,Less than one year,Truck and Bus Driver/Commercial Vehicle Operator and Instructor
67,53-3032,Less than one year,Truck and Bus Driver/Commercial Vehicle Operator and Instructor
68,53-3033,Less than one year,Truck and Bus Driver/Commercial Vehicle Operator and Instructor
69,29-2041,Less than one year,Emergency Medical Technology/Technician (EMT Paramedic)
70,49-3023,Less than one year,Automobile/Automotive Mechanics Technology/Technician
71,49-2096,Less than one year,Automobile/Automotive Mechanics Technology/Technician
72,49-2093,Less than one year,Automobile/Automotive Mechanics Technology/Technician
73,39-9011,Less than one year,Child Care Provider/Assistant
74,47-1011,Less than one year,Electrician
75,31-9011,Less than one year,Massage Therapy/Therapeutic Massage
76,13-2082,Less than one year,Accounting Technology/Technician and Bookkeeping
77,43-9111,Less than one year,Accounting Technology/Technician and Bookkeeping
78,43-3031,Less than one year,Accounting Technology/Technician and Bookkeeping
79,43-4011,Less than one year,Accounting Technology/Technician and Bookkeeping
80,43-3051,Less than one year,Accounting Technology/Technician and Bookkeeping
81,43-6013,Less than one year,Medical Office Assistant/Specialist
82,31-9097,Less than one year,Phlebotomy Technician/Phlebotomist
83,43-1011,Less than one year,Office Management and Supervision
84,41-3031,Less than one year,Financial Planning and Services
85,13-2071,Less than one year,Financial Planning and Services
86,17-3013,Less than one year,"Drafting and Design Technology/Technician, General"
87,51-4192,Less than one year,Machine Tool Technology/Machinist
88,51-4191,Less than one year,Machine Tool Technology/Machinist
89,51-4033,Less than one year,Machine Tool Technology/Machinist
90,51-4041,Less than one year,Machine Tool Technology/Machinist
91,51-4081,Less than one year,Machine Tool Technology/Machinist
92,49-9081,Less than one year,Industrial Mechanics and Maintenance Technology
93,49-9043,Less than one year,Industrial Mechanics and Maintenance Technology
94,49-9041,Less than one year,Industrial Mechanics and Maintenance Technology
95,47-4021,Less than one year,Industrial Mechanics and Maintenance Technology
96,49-9044,Less than one year,Industrial Mechanics and Maintenance Technology
97,49-9045,Less than one year,Industrial Mechanics and Maintenance Technology
98,17-3012,Less than one year,"Drafting and Design Technology/Technician, General"
99,13-1032,Less than one year,Autobody/Collision and Repair Technology/Technician
100,43-9021,Less than one year,Business/Office Automation/Technology/Data Entry
101,49-2094,Less than one year,Computer Installation and Repair Technology/Technician
102,53-3011,Less than one year,Emergency Care Attendant (EMT Ambulance)
103,51-4011,Less than one year,Machine Shop Technology/Assistant
104,51-2041,Less than one year,Machine Shop Technology/Assistant
105,41-9021,Less than one year,Real Estate
106,41-9022,Less than one year,Real Estate
107,11-9141,Less than one year,Real Estate
108,13-2021,Less than one year,Real Estate
109,51-4194,Less than one year,Machine Shop Technology/Assistant
110,47-2031,Less than one year,Carpentry/Carpenter
111,51-4031,Less than one year,Machine Tool Technology/Machinist
112,51-4023,Less than one year,Machine Tool Technology/Machinist
113,49-2011,Less than one year,Computer Installation and Repair Technology/Technician
114,43-4051,Less than one year,Customer Service Support/Call Center/Teleservice Operation
115,51-4032,Less than one year,Machine Tool Technology/Machinist
116,51-4022,Less than one year,Machine Tool Technology/Machinist
117,51-4034,Less than one year,Machine Tool Technology/Machinist
118,51-4021,Less than one year,Machine Tool Technology/Machinist
119,51-4035,Less than one year,Machine Tool Technology/Machinist
120,15-1151,Less than one year,Computer Support Specialist
121,43-5011,Less than one year,General Office Occupations and Clerical Services
122,35-2012,Less than one year,Food Preparation/Professional Cooking/Kitchen Assistant
123,43-9022,Less than one year,General Office Occupations and Clerical Services
124,43-3061,Less than one year,General Office Occupations and Clerical Services
125,43-9061,Less than one year,General Office Occupations and Clerical Services
126,43-9041,Less than one year,General Office Occupations and Clerical Services
127,31-9099,Less than one year,Medication Aide
128,53-5021,Less than one year,Marine Science/Merchant Marine Officer
129,53-5031,Less than one year,Marine Science/Merchant Marine Officer
130,49-9071,Less than one year,Building/Property Maintenance
131,37-1011,Less than one year,Building/Property Maintenance
132,31-1011,Less than one year,Home Health Aide/Home Attendant
133,39-9021,Less than one year,Home Health Aide/Home Attendant
134,51-9141,Less than one year,Industrial Electronics Technology/Technician
135,17-1021,Less than one year,Geographic Information Science and Cartography
136,43-9011,Less than one year,Data Processing and Data Processing Technology/Technician
137,49-2092,Less than one year,"Electrical/Electronics Equipment Installation and Repair, General"
138,51-4012,Less than one year,Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist
139,47-2152,Less than one year,Plumbing Technology/Plumber
140,51-9071,Less than one year,Metal and Jewelry Arts
141,41-3099,Less than one year,Retailing and Retail Operations
142,47-4071,Less than one year,Plumbing Technology/Plumber
143,49-9092,Less than one year,"Diver, Professional and Instructor"
144,41-3041,Less than one year,Selling Skills and Sales Operations
145,31-9093,Less than one year,Sterile Processing Technology/Technician
146,47-5021,Less than one year,Construction/Heavy Equipment/Earthmoving Equipment Operation
