Country name,Adjectivals,Demonyms,Demonyms
Abkhazia,"Abkhaz, Abkhazian",Abkhazians,Abkhazians
Afghanistan,Afghan,Afghans,"""Afghanis"""
Åland Islands,Åland Island,Åland Islanders,Åland Islanders
Albania,Albanian,Albanians,Albanians
Algeria,Algerian,Algerians,Algerians
American Samoa,American Samoan,American Samoans,American Samoans
Andorra,Andorran,Andorrans,Andorrans
Angola,Angolan,Angolans,Angolans
Anguilla,Anguillan,Anguillans,Anguillans
Antarctica,Antarctic,Antarctic residents,Antarctic residents
Antigua and Barbuda,Antiguan or Barbudan,Antiguans or Barbudans,Antiguans or Barbudans
Argentina,Argentinian,"Argentines, Argentinians","""Gauchos"""
Armenia,Armenian,Armenians,Armenians
Aruba,Aruban,Arubans,Arubans
Australia,Australian,Australians,"""Aussies"""
Austria,Austrian,Austrians,Austrians
Azerbaijan,"Azerbaijani, Azeri","Azerbaijanis, Azeris","Azerbaijanis, Azeris"
"Bahamas, The",Bahamian,Bahamians,Bahamians
Bahrain,Bahraini,Bahrainis,Bahrainis
Bangladesh,Bangladeshi,Bangladeshis,"""Deshis"", ""Bengis"", ""Bennies"", ""Bengullies"", ""Bangalis"", ""Banglas"", ""Bengalis"""
Barbados,Barbadian,Barbadians,"""Bajans"""
Belarus,Belarusian,Belarusians,Belarusians
Belgium,Belgian,Belgians,Belgians
Belize,Belizean,Belizeans,Belizeans
Benin,"Beninese, Beninois","Beninese, Beninois","Beninese, Beninois"
Bermuda,"Bermudian, Bermudan","Bermudians, Bermudans","""Onions"""
Bhutan,Bhutanese,Bhutanese,Bhutanese
Bolivia,Bolivian,Bolivians,Bolivians
Bonaire,Bonaire,Bonaire Dutch,Bonaire Dutch
Bosnia and Herzegovina,Bosnian or Herzegovinian,Bosnians or Herzegovinians,Bosnians or Herzegovinians
Botswana,"Motswana, Botswanan","Motswana (sing., plural Batswana), Botswanans","Motswana (sing., plural Batswana), Botswanans"
Bouvet Island,Bouvet Island,none,none
Brazil,Brazilian,Brazilians,
British Indian Ocean Territory,BIOT,British,British
Brunei,Bruneian,Bruneians,Bruneians
Bulgaria,Bulgarian,Bulgarians,Bulgarians
Burkina Faso,Burkinabé,Burkinabè/Burkinabé,Burkinabè/Burkinabé
Burma,Burmese,"Burmese, Bamar","Burmese, Bamar"
Burundi,Burundian,"Burundians, Barundi","Burundians, Barundi"
Cabo Verde,Cabo Verdean,Cabo Verdeans,Cabo Verdeans
Cambodia,Cambodian,Cambodians,Cambodians
Cameroon,Cameroonian,Cameroonians,Cameroonians
Canada,Canadian,Canadians,"""Canucks"""
Cayman Islands,Caymanian,Caymanians,Caymanians
Central African Republic,Central African,Central Africans,Central Africans
Chad,Chadian,Chadians,Chadians
Chile,Chilean,Chileans,Chileans
China,Chinese,Chinese,Chinese
Christmas Island,Christmas Island,Christmas Islanders,Christmas Islanders
Cocos (Keeling) Islands,Cocos Island,Cocos Islanders,Cocos Islanders
Colombia,Colombian,Colombians,"""Cafeteros"""
Comoros,"Comoran, Comorian","Comorans, Comorians","Comorans, Comorians"
"Congo, Democratic Republic of the",Congolese,Congolese,Congolese
"Congo, Republic of the",Congolese,Congolese,Congolese
Cook Islands,Cook Island,Cook Islanders,Cook Islanders
Costa Rica,Costa Rican,Costa Ricans,"""Ticos"""
Côte d'Ivoire,Ivorian,Ivorians,Ivorians
Croatia,Croatian,"Croatians, Croats","Croatians, Croats"
Cuba,Cuban,Cubans,Cubans
Curaçao,Curaçaoan,Curaçaoans,Curaçaoans
Cyprus,Cypriot,Cypriots,Cypriots
Czech Republic,Czech,Czechs,Czechs
Denmark,Danish,Danes,Danes
Djibouti,Djiboutian,Djiboutians,Djiboutians
Dominica,Dominican,Dominicans,Dominicans
Dominican Republic,Dominican,Dominicans,"""Quisqueyanos"""
East Timor,Timorese,Timorese,"""Maubere"""
Ecuador,Ecuadorian,Ecuadorians,Ecuadorians
Egypt,Egyptian,Egyptians,Egyptians
El Salvador,Salvadoran,Salvadorans,"""Guanacos"""
Equatorial Guinea,"Equatorial Guinean, Equatoguinean","Equatorial Guineans, Equatoguineans","Equatorial Guineans, Equatoguineans"
Eritrea,Eritrean,Eritreans,Eritreans
Estonia,Estonian,Estonians,Estonians
Eswatini (Swaziland),"Swazi, Swati",Swazis,Swazis
Ethiopia,Ethiopian,"Ethiopians, Habesha","Ethiopians, Habesha"
European Union,European,Europeans,Europeans
Falkland Islands,Falkland Island,Falkland Islanders,"""Belongers"""
Faroe Islands,Faroese,Faroese,Faroese
Fiji,Fijian,Fijians,Fijians
Finland,Finnish,Finns,Finns
France,French,"French, Frenchmen/Frenchwomen","""Gauls"""
French Guiana,French Guianese,French Guianese,French Guianese
French Polynesia,French Polynesian,French Polynesians,French Polynesians
French Southern Territories,French Southern Territories,French,French
Gabon,Gabonese,"Gabonese, Gabonaise","Gabonese, Gabonaise"
"Gambia, The",Gambian,Gambians,Gambians
Georgia,Georgian,Georgians,Georgians
Germany,German,Germans,Germans
Ghana,Ghanaian,Ghanaians,Ghanaians
Gibraltar,Gibraltar,Gibraltarians,"""Llanitos"""
Greece,"Greek, Hellenic","Greeks, Hellenes","Greeks, Hellenes"
Greenland,Greenlandic,Greenlanders,Greenlanders
Grenada,Grenadian,Grenadians,Grenadians
Guadeloupe,Guadeloupe,Guadeloupians,Guadeloupians
