,Skill,correlation
136,Originality,-0.5849770000000001
72,Fluency of Ideas,-0.579859
204,Systems Evaluation,-0.565116
154,Provide Consultation and Advice to Others,-0.549661
37,Developing Objectives and Strategies,-0.545076
203,Systems Analysis,-0.533251
181,Sociology and Anthropology,-0.515787
209,Thinking Creatively,-0.505409
106,Learning Strategies,-0.49512399999999995
155,Psychology,-0.4902
99,Instructing,-0.485966
0,Active Learning,-0.485329
132,Operations Analysis,-0.478925
199,Staffing Organizational Units,-0.47821099999999994
112,Management of Personnel Resources,-0.47751499999999997
147,Philosophy and Theology,-0.46664799999999995
38,Developing and Building Teams,-0.461355
174,Science,-0.456532
13,Coaching and Developing Others,-0.436708
83,"Guiding, Directing, and Motivating Subordinates",-0.429971
208,Therapy and Counseling,-0.429695
17,Complex Problem Solving,-0.42874799999999996
5,Artistic,-0.42668500000000004
101,Interpreting the Meaning of Information for Others,-0.409279
173,Scheduling Work and Activities,-0.40763699999999997
104,Judgment and Decision Making,-0.392506
95,Inductive Reasoning,-0.390914
45,Education and Training,-0.390524
16,Communications and Media,-0.38976
146,Persuasion,-0.385779
8,Biology,-0.385171
25,Coordinating the Work and Activities of Others,-0.380867
179,Social,-0.377396
229,Written Expression,-0.368852
102,Investigative,-0.36678
227,Writing,-0.36291599999999996
86,History and Archeology,-0.358475
14,Communicating with Persons Outside Organization,-0.357664
111,Management of Material Resources,-0.35341100000000003
124,Negotiation,-0.35322
33,Deductive Reasoning,-0.353134
110,Management of Financial Resources,-0.344966
145,Personnel and Human Resources,-0.341648
205,Technology Design,-0.334039
121,Monitoring and Controlling Resources,-0.33148299999999997
168,Resolving Conflicts and Negotiating with Others,-0.324129
28,Critical Thinking,-0.318657
180,Social Perceptiveness,-0.318447
26,Coordination,-0.311458
109,Making Decisions and Solving Problems,-0.311166
161,Reading Comprehension,-0.298962
117,Medicine and Dentistry,-0.297268
3,Analyzing Data or Information,-0.296604
48,English Language,-0.29580300000000004
150,Problem Sensitivity,-0.289854
118,Memorization,-0.280634
153,Programming,-0.280459
185,Speaking,-0.2801
228,Written Comprehension,-0.279531
177,Selling or Influencing Others,-0.275213
218,Updating and Using Relevant Knowledge,-0.272566
214,Training and Teaching Others,-0.270794
68,Fine Arts,-0.267964
2,Administration and Management,-0.267776
135,"Organizing, Planning, and Prioritizing Work",-0.26623600000000003
105,Law and Government,-0.26014699999999996
78,Geography,-0.252553
120,Monitoring,-0.24199099999999998
100,Interacting With Computers,-0.238997
18,Computers and Electronics,-0.227293
46,Electronic Mail,-0.22168200000000002
1,Active Listening,-0.220057
141,Performing Administrative Activities,-0.21925300000000003
39,Documenting/Recording Information,-0.215943
178,Service Orientation,-0.213716
188,Speed of Closure,-0.21355500000000002
52,Establishing and Maintaining Interpersonal Relationships,-0.209786
114,Mathematical Reasoning,-0.208396
134,Oral Expression,-0.204299
211,Time Management,-0.20268599999999998
74,Foreign Language,-0.200883
186,Speech Clarity,-0.184339
10,Category Flexibility,-0.163378
6,Assisting and Caring for Others,-0.16167
49,Enterprising,-0.157425
206,Telecommunications,-0.15046199999999998
149,Physics,-0.14881
133,Oral Comprehension,-0.146506
172,Sales and Marketing,-0.145679
143,Performing for or Working Directly with the Public,-0.132797
79,Getting Information,-0.124511
210,Third Interest High-Point,-0.1175
44,Economics and Accounting,-0.114204
103,"Judging the Qualities of Things, Services, or People",-0.11414400000000001
126,Number Facility,-0.11389300000000001
12,Clerical,-0.11
151,Processing Information,-0.10046000000000001
15,"Communicating with Supervisors, Peers, or Subordinates",-0.09272799999999999
187,Speech Recognition,-0.090629
11,Chemistry,-0.082958
115,Mathematics,-0.07902999999999999
47,Engineering and Technology,-0.07141900000000001
157,Public Speaking,-0.070254
36,Design,-0.070247
96,Information Ordering,-0.066262
29,Customer and Personal Service,-0.059173
70,First Interest High-Point,-0.052976999999999996
87,"Identifying Objects, Actions, and Events",-0.048785
54,Evaluating Information to Determine Compliance with Standards,-0.036348
53,"Estimating the Quantifiable Characteristics of Products, Events, or Information",-0.029768
71,Flexibility of Closure,-0.02137
40,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",0.005612
55,Explosive Strength,0.005699
107,Letters and Memos,0.041037
221,Visualization,0.045228
57,Exposed to Disease or Infections,0.045385
213,Time Sharing,0.056253
156,Public Safety and Security,0.06460199999999999
73,Food Production,0.077811
119,"Monitor Processes, Materials, or Surroundings",0.08000499999999999
195,Spend Time Sitting,0.098308
215,Transportation,0.10906300000000001
9,Building and Construction,0.115926
93,"Indoors, Environmentally Controlled",0.11857999999999999
