O*NET-SOC Code,O*NET-SOC Title,Job Zone,First Work Value,Second Work Value,Third Work Value
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",1,Relationships,Achievement,Independence
49-9093.00,"Fabric Menders, Except Garment",1,Support,Achievement,Working Conditions
51-6021.00,"Pressers, Textile, Garment, and Related Materials",1,Relationships,Support,Achievement
27-2011.00,Actors,2,Relationships,Achievement,Independence
45-2011.00,Agricultural Inspectors,2,Achievement,Support,Independence
27-2021.00,Athletes and Sports Competitors,2,Achievement,Recognition,Relationships
51-3011.00,Bakers,2,Achievement,Independence,Support
49-3091.00,Bicycle Repairers,2,Independence,Achievement,Support
51-8099.03,Biomass Plant Technicians,2,Support,Working Conditions,Achievement
41-2011.00,Cashiers,2,Relationships,Support,Achievement
47-2031.01,Construction Carpenters,2,Support,Independence,Achievement
27-1023.00,Floral Designers,2,Achievement,Relationships,Independence
33-2011.02,Forest Firefighters,2,Achievement,Relationships,Support
49-9099.01,Geothermal Technicians,2,Support,Achievement,Working Conditions
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2,Relationships,Support,Achievement
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,Support,Achievement,Independence
45-2092.01,Nursery Workers,2,Support,Relationships,Achievement
31-2022.00,Physical Therapist Aides,2,Relationships,Support,Achievement
53-1021.01,Recycling Coordinators,2,Achievement,Recognition,Independence
53-5011.00,Sailors and Marine Oilers,2,Support,Achievement,Relationships
51-6041.00,Shoe and Leather Workers and Repairers,2,Support,Achievement,Independence
47-2231.00,Solar Photovoltaic Installers,2,Support,Achievement,Working Conditions
51-9195.03,"Stone Cutters and Carvers, Manufacturing",2,Support,Achievement,Working Conditions
51-6093.00,Upholsterers,2,Support,Achievement,Working Conditions
35-3031.00,Waiters and Waitresses,2,Relationships,Support,Achievement
17-3027.01,Automotive Engineering Technicians,3,Achievement,Working Conditions,Support
27-1012.00,Craft Artists,3,Achievement,Independence,Working Conditions
33-3021.03,Criminal Investigators and Special Agents,3,Achievement,Working Conditions,Recognition
13-1199.03,Customs Brokers,3,Achievement,Independence,Recognition
27-2031.00,Dancers,3,Achievement,Relationships,Working Conditions
43-9031.00,Desktop Publishers,3,Achievement,Support,Independence
17-3012.01,Electronic Drafters,3,Achievement,Support,Working Conditions
17-3029.04,Electronics Engineering Technologists,3,Achievement,Independence,Support
27-1022.00,Fashion Designers,3,Achievement,Independence,Working Conditions
33-2021.01,Fire Inspectors,3,Achievement,Independence,Support
33-2021.02,Fire Investigators,3,Achievement,Independence,Support
