O*NET-SOC Code,O*NET-SOC Title,Job Zone,First Work Value,Second Work Value,Third Work Value
39-3091.00,Amusement and Recreation Attendants,1,Support,Independence,Relationships
35-2011.00,"Cooks, Fast Food",1,Relationships,Support,Independence
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,1,Relationships,Support,Independence
35-9021.00,Dishwashers,1,Relationships,Support,Independence
45-4021.00,Fallers,1,Support,Independence,Working Conditions
45-3011.00,Fishers and Related Fishing Workers,1,Independence,Relationships,Support
45-3021.00,Hunters and Trappers,1,Independence,Working Conditions,Relationships
45-4022.00,Logging Equipment Operators,1,Support,Independence,Working Conditions
47-2161.00,Plasterers and Stucco Masons,1,Independence,Relationships,Working Conditions
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,1,Support,Relationships,Independence
53-1011.00,Aircraft Cargo Handling Supervisors,2,Independence,Support,Relationships
45-2021.00,Animal Breeders,2,Independence,Working Conditions,Achievement
39-2011.00,Animal Trainers,2,Independence,Relationships,Achievement
53-6031.00,Automotive and Watercraft Service Attendants,2,Support,Relationships,Independence
49-3091.00,Bicycle Repairers,2,Independence,Achievement,Support
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",2,Independence,Relationships,Support
35-2015.00,"Cooks, Short Order",2,Independence,Relationships,Support
41-2021.00,Counter and Rental Clerks,2,Relationships,Support,Independence
33-9091.00,Crossing Guards,2,Relationships,Support,Independence
53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2,Independence,Support,Relationships
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,2,Independence,Support,Working Conditions
45-1011.05,First-Line Supervisors of Logging Workers,2,Independence,Support,Relationships
51-1011.00,First-Line Supervisors of Production and Operating Workers,2,Independence,Support,Achievement
41-1011.00,First-Line Supervisors of Retail Sales Workers,2,Independence,Relationships,Support
11-9051.00,Food Service Managers,2,Independence,Relationships,Support
39-1011.00,Gaming Supervisors,2,Independence,Relationships,Working Conditions
33-9031.00,Gaming Surveillance Officers and Gaming Investigators,2,Independence,Support,Achievement
49-9031.00,Home Appliance Repairers,2,Independence,Support,Working Conditions
49-9094.00,Locksmiths and Safe Repairers,2,Independence,Working Conditions,Achievement
45-4023.00,Log Graders and Scalers,2,Independence,Support,Working Conditions
53-5021.02,"Mates- Ship, Boat, and Barge",2,Independence,Recognition,Working Conditions
49-9011.00,Mechanical Door Repairers,2,Independence,Support,Working Conditions
53-5022.00,Motorboat Operators,2,Independence,Relationships,Support
39-2021.00,Nonfarm Animal Caretakers,2,Relationships,Support,Independence
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,2,Independence,Support,Working Conditions
53-6021.00,Parking Lot Attendants,2,Relationships,Independence,Support
37-2021.00,Pest Control Workers,2,Independence,Support,Relationships
11-9131.00,Postmasters and Mail Superintendents,2,Independence,Support,Working Conditions
33-9099.02,Retail Loss Prevention Specialists,2,Independence,Achievement,Working Conditions
51-6051.00,"Sewers, Hand",2,Independence,Support,Working Conditions
43-5081.01,"Stock Clerks, Sales Floor",2,Relationships,Support,Independence
43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",2,Support,Relationships,Independence
53-3041.00,Taxi Drivers and Chauffeurs,2,Independence,Support,Working Conditions
47-2053.00,Terrazzo Workers and Finishers,2,Independence,Support,Achievement
47-2044.00,Tile and Marble Setters,2,Independence,Support,Working Conditions
49-3093.00,Tire Repairers and Changers,2,Support,Relationships,Independence
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",2,Relationships,Support,Independence
13-2021.01,Assessors,3,Independence,Support,Working Conditions
27-4011.00,Audio and Video Equipment Technicians,3,Independence,Support,Relationships
49-3023.01,Automotive Master Mechanics,3,Independence,Support,Working Conditions
49-9061.00,Camera and Photographic Equipment Repairers,3,Independence,Achievement,Working Conditions
35-1011.00,Chefs and Head Cooks,3,Independence,Recognition,Achievement
35-2013.00,"Cooks, Private Household",3,Independence,Achievement,Relationships
13-1041.06,Coroners,3,Independence,Achievement,Support
43-4041.01,Credit Authorizers,3,Independence,Support,Relationships
47-2111.00,Electricians,3,Independence,Support,Achievement
39-4011.00,Embalmers,3,Independence,Support,Relationships
