O*NET-SOC Code,O*NET-SOC Title,Job Zone,First Work Value,Second Work Value,Third Work Value
35-3022.01,Baristas,1,Relationships,Support,Independence
47-2051.00,Cement Masons and Concrete Finishers,1,Relationships,Support,Independence
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",1,Relationships,Support,Working Conditions
35-2011.00,"Cooks, Fast Food",1,Relationships,Support,Independence
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",1,Relationships,Support,Working Conditions
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,1,Relationships,Support,Independence
35-9021.00,Dishwashers,1,Relationships,Support,Independence
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",1,Relationships,Achievement,Independence
45-2092.02,"Farmworkers and Laborers, Crop",1,Relationships,Support,Working Conditions
35-3041.00,"Food Servers, Nonrestaurant",1,Relationships,Support,Working Conditions
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",1,Relationships,Support,Working Conditions
37-3011.00,Landscaping and Groundskeeping Workers,1,Relationships,Working Conditions,Support
51-6011.00,Laundry and Dry-Cleaning Workers,1,Relationships,Support,Independence
41-9012.00,Models,1,Relationships,Recognition,Working Conditions
51-6021.00,"Pressers, Textile, Garment, and Related Materials",1,Relationships,Support,Achievement
27-2011.00,Actors,2,Relationships,Achievement,Independence
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",2,Relationships,Support,Independence
33-9011.00,Animal Control Workers,2,Relationships,Independence,Support
39-6011.00,Baggage Porters and Bellhops,2,Relationships,Support,Independence
33-3011.00,Bailiffs,2,Relationships,Support,Independence
35-3011.00,Bartenders,2,Relationships,Independence,Support
43-3011.00,Bill and Account Collectors,2,Relationships,Support,Achievement
43-3021.02,"Billing, Cost, and Rate Clerks",2,Relationships,Support,Independence
53-3022.00,"Bus Drivers, School or Special Client",2,Relationships,Support,Independence
53-3021.00,"Bus Drivers, Transit and Intercity",2,Relationships,Support,Independence
51-3021.00,Butchers and Meat Cutters,2,Relationships,Independence,Achievement
