O*NET-SOC Code,O*NET-SOC Title,Job Zone,First Work Value,Second Work Value,Third Work Value
45-2091.00,Agricultural Equipment Operators,1,Support,Independence,Achievement
39-3091.00,Amusement and Recreation Attendants,1,Support,Independence,Relationships
53-6011.00,Bridge and Lock Tenders,1,Support,Relationships,Working Conditions
53-7011.00,Conveyor Operators and Tenders,1,Support,Relationships,Independence
51-9031.00,"Cutters and Trimmers, Hand",1,Support,Relationships,Independence
47-5011.00,"Derrick Operators, Oil and Gas",1,Support,Relationships,Working Conditions
49-9093.00,"Fabric Menders, Except Garment",1,Support,Achievement,Working Conditions
45-4021.00,Fallers,1,Support,Independence,Working Conditions
35-2021.00,Food Preparation Workers,1,Support,Relationships,Working Conditions
45-2041.00,"Graders and Sorters, Agricultural Products",1,Support,Working Conditions,Relationships
51-9022.00,"Grinding and Polishing Workers, Hand",1,Support,Relationships,Working Conditions
45-4022.00,Logging Equipment Operators,1,Support,Independence,Working Conditions
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",1,Support,Relationships,Working Conditions
51-9123.00,"Painting, Coating, and Decorating Workers",1,Support,Independence,Achievement
47-5051.00,"Rock Splitters, Quarry",1,Support,Relationships,Working Conditions
47-5071.00,"Roustabouts, Oil and Gas",1,Support,Relationships,Working Conditions
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,1,Support,Relationships,Independence
51-6031.00,Sewing Machine Operators,1,Support,Relationships,Independence
51-9191.00,Adhesive Bonding Machine Operators and Tenders,2,Support,Relationships,Achievement
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",2,Support,Relationships,Working Conditions
53-6031.00,Automotive and Watercraft Service Attendants,2,Support,Relationships,Independence
49-3021.00,Automotive Body and Related Repairers,2,Support,Relationships,Independence
49-3022.00,Automotive Glass Installers and Repairers,2,Support,Relationships,Independence
51-8099.01,Biofuels Processing Technicians,2,Support,Working Conditions,Achievement
