O*NET-SOC Code,O*NET-SOC Title,Job Zone,First Work Value,Second Work Value,Third Work Value
53-6011.00,Bridge and Lock Tenders,1,Support,Relationships,Working Conditions
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",1,Relationships,Support,Working Conditions
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",1,Relationships,Support,Working Conditions
45-2092.02,"Farmworkers and Laborers, Crop",1,Relationships,Support,Working Conditions
35-2021.00,Food Preparation Workers,1,Support,Relationships,Working Conditions
35-3041.00,"Food Servers, Nonrestaurant",1,Relationships,Support,Working Conditions
45-2041.00,"Graders and Sorters, Agricultural Products",1,Support,Working Conditions,Relationships
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",1,Relationships,Support,Working Conditions
45-3021.00,Hunters and Trappers,1,Independence,Working Conditions,Relationships
37-3011.00,Landscaping and Groundskeeping Workers,1,Relationships,Working Conditions,Support
45-4022.00,Logging Equipment Operators,1,Support,Independence,Working Conditions
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",1,Support,Relationships,Working Conditions
41-9012.00,Models,1,Relationships,Recognition,Working Conditions
47-5051.00,"Rock Splitters, Quarry",1,Support,Relationships,Working Conditions
47-5071.00,"Roustabouts, Oil and Gas",1,Support,Relationships,Working Conditions
51-8099.03,Biomass Plant Technicians,2,Support,Working Conditions,Achievement
47-2021.00,Brickmasons and Blockmasons,2,Support,Working Conditions,Independence
51-8091.00,Chemical Plant and System Operators,2,Support,Working Conditions,Independence
51-2021.00,"Coil Winders, Tapers, and Finishers",2,Support,Working Conditions,Independence
47-5041.00,Continuous Mining Machine Operators,2,Support,Relationships,Working Conditions
51-7021.00,Furniture Finishers,2,Support,Relationships,Working Conditions
49-9099.01,Geothermal Technicians,2,Support,Achievement,Working Conditions
47-2121.00,Glaziers,2,Working Conditions,Relationships,Achievement
47-5081.00,Helpers--Extraction Workers,2,Support,Working Conditions,Relationships
51-9198.00,Helpers--Production Workers,2,Support,Relationships,Working Conditions
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2,Relationships,Support,Working Conditions
53-7033.00,"Loading Machine Operators, Underground Mining",2,Support,Working Conditions,Relationships
49-9094.00,Locksmiths and Safe Repairers,2,Independence,Working Conditions,Achievement
53-4011.00,Locomotive Engineers,2,Support,Working Conditions,Relationships
53-4012.00,Locomotive Firers,2,Support,Working Conditions,Relationships
43-5041.00,"Meter Readers, Utilities",2,Working Conditions,Independence,Support
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",2,Support,Working Conditions,Independence
49-3043.00,Rail Car Repairers,2,Support,Working Conditions,Independence
51-9199.01,Recycling and Reclamation Workers,2,Support,Relationships,Working Conditions
47-2031.02,Rough Carpenters,2,Support,Independence,Working Conditions
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2,Support,Working Conditions,Independence
47-2231.00,Solar Photovoltaic Installers,2,Support,Achievement,Working Conditions
53-3041.00,Taxi Drivers and Chauffeurs,2,Independence,Support,Working Conditions
51-2093.00,Timing Device Assemblers and Adjusters,2,Support,Working Conditions,Achievement
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",2,Support,Working Conditions,Achievement
47-4099.03,Weatherization Installers and Technicians,2,Support,Relationships,Working Conditions
15-1151.00,Computer User Support Specialists,3,Relationships,Working Conditions,Achievement
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",3,Support,Working Conditions,Independence
17-3023.03,Electrical Engineering Technicians,3,Support,Working Conditions,Relationships
47-4021.00,Elevator Installers and Repairers,3,Support,Working Conditions,Independence
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",3,Independence,Working Conditions,Achievement
29-2092.00,Hearing Aid Specialists,3,Relationships,Working Conditions,Achievement
51-9071.01,Jewelers,3,Working Conditions,Achievement,Relationships
51-4041.00,Machinists,3,Support,Working Conditions,Independence
29-2035.00,Magnetic Resonance Imaging Technologists,3,Achievement,Working Conditions,Support
19-4051.01,Nuclear Equipment Operation Technicians,3,Support,Working Conditions,Relationships
51-8011.00,Nuclear Power Reactor Operators,3,Support,Working Conditions,Achievement
51-9071.07,Precious Metal Workers,3,Working Conditions,Achievement,Support
17-3024.01,Robotics Technicians,3,Support,Working Conditions,Achievement
41-3031.02,"Sales Agents, Financial Services",3,Working Conditions,Achievement,Relationships
51-2041.00,Structural Metal Fabricators and Fitters,3,Support,Working Conditions,Relationships
51-4121.06,"Welders, Cutters, and Welder Fitters",3,Support,Working Conditions,Relationships
15-2011.00,Actuaries,4,Working Conditions,Achievement,Independence
11-2011.00,Advertising and Promotions Managers,4,Working Conditions,Achievement,Independence
17-2011.00,Aerospace Engineers,4,Working Conditions,Independence,Recognition
17-3011.01,Architectural Drafters,4,Working Conditions,Achievement,Recognition
11-3051.03,Biofuels Production Managers,4,Working Conditions,Achievement,Recognition
11-3051.04,Biomass Power Plant Managers,4,Working Conditions,Achievement,Recognition
13-2031.00,Budget Analysts,4,Working Conditions,Support,Independence
11-3021.00,Computer and Information Systems Managers,4,Working Conditions,Support,Achievement
17-2061.00,Computer Hardware Engineers,4,Working Conditions,Achievement,Independence
15-1121.00,Computer Systems Analysts,4,Working Conditions,Achievement,Independence
11-9021.00,Construction Managers,4,Working Conditions,Independence,Support
15-1141.00,Database Administrators,4,Working Conditions,Support,Achievement
17-2199.03,Energy Engineers,4,Working Conditions,Achievement,Independence
17-3025.00,Environmental Engineering Technicians,4,Support,Working Conditions,Achievement
45-1011.06,First-Line Supervisors of Aquacultural Workers,4,Working Conditions,Independence,Achievement
15-1122.00,Information Security Analysts,4,Working Conditions,Independence,Support
17-2199.04,Manufacturing Engineers,4,Working Conditions,Support,Independence
11-2021.00,Marketing Managers,4,Working Conditions,Achievement,Independence
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",4,Working Conditions,Support,Independence
15-1142.00,Network and Computer Systems Administrators,4,Working Conditions,Support,Achievement
19-4099.02,Precision Agriculture Technicians,4,Working Conditions,Independence,Support
11-2031.00,Public Relations and Fundraising Managers,4,Working Conditions,Independence,Relationships
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4,Working Conditions,Independence,Support
11-3061.00,Purchasing Managers,4,Working Conditions,Support,Independence
19-1031.02,Range Managers,4,Working Conditions,Independence,Achievement
13-1041.07,Regulatory Affairs Specialists,4,Working Conditions,Independence,Support
15-1132.00,"Software Developers, Applications",4,Working Conditions,Recognition,Achievement
17-2199.02,Validation Engineers,4,Working Conditions,Achievement,Independence
15-1199.03,Web Administrators,4,Achievement,Working Conditions,Independence
29-1141.02,Advanced Practice Psychiatric Nurses,5,Relationships,Working Conditions,Support
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",5,Working Conditions,Achievement,Independence
25-1042.00,"Biological Science Teachers, Postsecondary",5,Working Conditions,Achievement,Independence
15-1111.00,Computer and Information Research Scientists,5,Achievement,Working Conditions,Independence
19-3011.00,Economists,5,Working Conditions,Independence,Achievement
17-2081.00,Environmental Engineers,5,Achievement,Working Conditions,Recognition
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",5,Working Conditions,Achievement,Independence
25-1071.00,"Health Specialties Teachers, Postsecondary",5,Working Conditions,Achievement,Independence
17-2112.01,Human Factors Engineers and Ergonomists,5,Achievement,Working Conditions,Independence
19-3032.00,Industrial-Organizational Psychologists,5,Working Conditions,Relationships,Achievement
23-1012.00,Judicial Law Clerks,5,Achievement,Working Conditions,Support
11-9111.00,Medical and Health Services Managers,5,Independence,Working Conditions,Relationships
19-1029.02,Molecular and Cellular Biologists,5,Independence,Working Conditions,Achievement
11-9121.00,Natural Sciences Managers,5,Independence,Working Conditions,Achievement
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",5,Relationships,Working Conditions,Independence
29-1041.00,Optometrists,5,Working Conditions,Achievement,Recognition
29-1199.05,Orthoptists,5,Independence,Working Conditions,Relationships
29-1071.00,Physician Assistants,5,Relationships,Working Conditions,Achievement
25-1065.00,"Political Science Teachers, Postsecondary",5,Working Conditions,Achievement,Independence
11-3031.01,Treasurers and Controllers,5,Working Conditions,Achievement,Independence
