Skill 1	Skill 2	Weight
Active Learning	Active Listening	0.805732
Active Learning	Complex Problem Solving	0.786624
Active Learning	Coordination	0.677515
Active Learning	Critical Thinking	0.847134
Active Learning	Equipment Maintenance	0.117834
Active Learning	Equipment Selection	0.249249
Active Learning	Installation	0.191083
Active Learning	Instructing	0.767516
Active Learning	Judgment and Decision Making	0.812102
Active Learning	Learning Strategies	0.792994
Active Learning	Management of Financial Resources	0.611465
Active Learning	Management of Material Resources	0.541401
Active Learning	Management of Personnel Resources	0.694268
Active Learning	Mathematics	0.617834
Active Learning	Monitoring	0.779874
Active Learning	Negotiation	0.770440
Active Learning	Operation Monitoring	0.184290
Active Learning	Operation and Control	0.139881
Active Learning	Operations Analysis	0.662420
Active Learning	Persuasion	0.796407
Active Learning	Programming	0.468153
Active Learning	Quality Control Analysis	0.281159
Active Learning	Reading Comprehension	0.853503
Active Learning	Repairing	0.101911
Active Learning	Science	0.449045
Active Learning	Service Orientation	0.693009
Active Learning	Social Perceptiveness	0.735385
Active Learning	Speaking	0.834395
Active Learning	Systems Analysis	0.589172
Active Learning	Systems Evaluation	0.675159
Active Learning	Technology Design	0.398089
Active Learning	Time Management	0.773700
Active Learning	Troubleshooting	0.185410
Active Learning	Writing	0.850318
Active Learning	Arm-Hand Steadiness	0.227941
Active Learning	Auditory Attention	0.213415
Active Learning	Category Flexibility	0.669565
Active Learning	Control Precision	0.169399
Active Learning	Deductive Reasoning	0.794304
Active Learning	Depth Perception	0.146479
Active Learning	Dynamic Flexibility	0.101911
Active Learning	Dynamic Strength	0.141243
Active Learning	Explosive Strength	0.124204
Active Learning	Extent Flexibility	0.146479
Active Learning	Far Vision	0.380665
Active Learning	Finger Dexterity	0.258953
Active Learning	Flexibility of Closure	0.470414
Active Learning	Fluency of Ideas	0.812102
Active Learning	Glare Sensitivity	0.105096
Active Learning	Gross Body Coordination	0.172043
Active Learning	Gross Body Equilibrium	0.118380
Active Learning	Hearing Sensitivity	0.209091
Active Learning	Inductive Reasoning	0.771160
Active Learning	Information Ordering	0.608434
Active Learning	Manual Dexterity	0.202532
Active Learning	Mathematical Reasoning	0.643312
Active Learning	Memorization	0.676829
Active Learning	Multilimb Coordination	0.178295
Active Learning	Near Vision	0.582803
