stat_age,Alter
stat_date,Datum
stat_savings,Ersparnisse
stat_wage,Monatslohn
stat_education,Bildungsgrad
stat_current_job,Derzeitige Arbeit
month_unit,mo
school_remaining,Weitere {months} Monate in der Schule
application_notice,Angewandt auf {name}
living_expenses,${amount} Leben
debt_expenses,${amount} Schulden
monthly_expenses,${amount}/Monat an Ausgaben
retirement_progress,Fortschritt im Hinblick auf den Ruhestand
retirement_early,Frührente/Frühpension
retirement_early_tip,"Sie brauchen ${amount} an Ersparnissen, um in den Frühruhestand zu gehen"
retirement_remaining,{years} Jahre bis zum Ruhestand
retirement_savings_remaining,${amount} Für den Ruhestand werden mehr benötigt
in_school_notice,In Schule
unemployed_notice,Arbeitslos
game_over_warning,"Sie sind stark verschuldet. Wenn Sie Schulden in Höhe von ${amount} erreichen, werden Sie das Spiel verlieren."
game_over_notice,Das Spiel ist aus
game_over_debt,Sie haben zu viele Schulden angehäuft.
game_over_win,Sie haben die Automatisierung erfolgreich überlebt und haben es in den Ruhestand geschafft.
game_over_lose,"Sie konnten keine ausreichenden Ersparnisse anlegen, um in den Ruhestand zu treten."
game_over_thanks,"Vielen Dank, dass Sie ""Die automatisierte Welt gespielt"" haben. Nehmen Sie sich bitte einen Augenblick Zeit und füllen Sie die Umfrage aus."
game_over_win_share,Ich bin der Automatisierung in ü§ñ der automatisierten Welt üåé entgangen!
game_over_lose_share,"Ich habe es nicht geschafft, der Automatisierung in ü§ñ der automatisierten Welt üåé zu entgehen."
game_over_lose_summary_result,Sie haben es nicht geschafft. {percent}% der Spieler haben es ebenfalls nicht geschafft.
game_over_win_summary_result,Sie haben es geschafft. {percent}% der Spieler haben es ebenfalls geschafft.
likert_0,Ich stimme überhaupt nicht zu
likert_1,Ich stimme nicht zu
likert_2,Neutral
likert_3,Ich stimme zu
likert_4,Ich stimme absolut zu
survey_age_label,Alter
survey_education_label,Bildungsgrad
survey_occupation_label,Beschäftigung
survey_automation_society_question,Wird die Gesellschaft Ihrer Meinung nach von der Automatisierung profitieren?
survey_automation_individual_question,Wird das persönliche Wohlergehen Ihrer Meinung nach von der Automatisierung profitieren?
survey_submitted,Ihre Antworten wurden versandt.
survey_submit_button,Absenden
robot_release,RoboCo bringt {name} heraus. Es ist hervorragend in {skills}.
robot_release_long,"Nach Jahren der Forschung und Entwicklung hat RoboCo {name} herausgebracht. Es ist hervorragend in {skills}. Sämtliche Arbeiten, die diese Fertigkeit beinhalten, werden davon betroffen sein."
news_silence_note,Künftige Nachrichten verbergen. Unten rechts werden dennoch Benachrichtigungen angezeigt.
birthday_title,Herzlichen Glückwunsch zum {age}sten Geburtstag!
birthday_body,Sie sind noch {yearsLeft} Jahre vom Ruhestand entfernt. In diesem Tempo werden Sie bis dahin ${estimate} gespart haben.
inflation,Ihre Lebenshaltungskosten sind inflationsbedingt gestiegen.
hired,Sie wurden als {name} eingestellt.
rejected,Ihre Bewerbung als {name} wurde abgelehnt wegen Ihrer {mainFactor}.
deepening_automation,Die Auswirkungen auf die Produktivität von {name} sind weit verbreitet.
drop_out,Sie haben die Schule abgebrochen.
graduated,Herzlichen Glückwunsch! Sie haben den Abschluss geschafft.
performance_terrible,Schrecklich
performance_bad,Schlecht
performance_mediocre,Mittelmäßig
performance_good,Gut
performance_fantastic,Fantastisch
performance,Leistung
work_button,Arbeit
low_risk_automation,Niedriges Risiko
mid_risk_automation,Mittleres Risiko
high_risk_automation,Hohes Risiko
low,niedrig
moderate,mäßig
high,hoch
automated,Automatisiert
percent_automated,automatisiert
automation_risk,Automatisierungsrisiko
improving_on_job,Verbesserung am Arbeitsplatz
improving_skill,Qualifikation verbessern
important_skills,Wichtige Qualifikationen
your_skill_level,Ihr Qualifikationsniveau
your_skills,Ihre Qualifikationen
skills_info,"Ihre Qualifikationen verbessern sich im Laufe der Zeit automatisch, wenn Sie sie für Ihre Arbeiten einsetzen."
application_out,Antrag verschickt
past_job,Letzte Arbeitsstelle
current_job,Derzeitige Arbeitsstelle
robot_maintenance,Instandhaltung von Robotern
percent_skills_automated,{percent}% der Qualifikationen sind automatisiert worden
Jan,Jan
Feb,Feb
Mar,März
Apr,Apr
May,Mai
Jun,Juni
Jul,Juli
Aug,Aug
Sep,Sep
Oct,Okt
Nov,Nov
Dec,Dez
years_duration,{years} Jahre
study_program,Studie {name}
already_enrolled,Sie sind bereits angemeldet.
fully_educated,"Das Bildungssystem hat Ihnen alles beigebracht, was es kann."
select_program,"Wählen Sie ein Programm aus, um sich dafür anzumelden"
loan_warning,"Sie können sich die Schule nicht leisten. Wenn Sie sich anmelden, erhalten Sie ein Darlehen zur Deckung aller Kosten zu den folgenden Bedingungen"
interest_rate,Zinssatz
loan_terms,"{rate}% fest, {years}-Jahr"
next_level,Nächste Stufe
enroll_button,Anmelden
education_title,Bildung
cost_in_wages,{months} Monatslohn
school_cost,"Kosten, mit Lebenshaltungskosten"
after_subsidy,Kosten nach Beihilfe
subsidy_note,"Sie erhalten eine Ausbildungsbeihilfe, die {subsidy}% Ihrer Ausgaben deckt."
school_postsecondary_note,"Weiterführende Schulabschlüsse eröffnen zwar keine neuen Teile des Arbeitsgraphen, sie erleichtern es aber für fortschrittlichere Arbeiten angestellt zu werden."
start_welcome,Willkommen in der automatisierten Welt!
start_intro,"Dieses Spiel ist eine Erkundung der Arbeitsmobilität gegenüber der Verbreitung der Automatisierung. Ihre erste Arbeit ist durch die Automatisierung stark gefährdet. Versuchen Sie, in einer Arbeit zu landen, die relativ sicher vor Automatisierung ist."
start_goal,"Ihr Ziel besteht darin, im Alter von {age} mit einem finanziellen Polster von ${savings} in den Ruhestand zu treten."
select_starting_job,Wählen Sie Ihre erste Arbeit aus
select_starting_job_button,Arbeit auswählen
notification_history_title,Verlauf
pause_button,Pause
start_button,Start
resume_button,Wiederaufnahme
skills_button,Qualifikationen anzeigen
school_button,Schule besuchen
notification_history_button,Benachrichtigungsverlauf
