stat_age,Edad
stat_date,Fecha
stat_savings,Ahorros
stat_wage,Salario mensual
stat_education,Nivel de educación
stat_current_job,Trabajo actual
month_unit,mes
school_remaining,En la escuela durante {months} meses más
application_notice,Solicitar {name}
living_expenses,${amount} manutención
debt_expenses,${amount} deuda
monthly_expenses,${amount}/mes en gastos
retirement_progress,Progreso de jubilación
retirement_early,Jubilarse pronto
retirement_early_tip,Tener ${amount} ahorrado para retirarse temprano
retirement_remaining,{years} años hasta la jubilación
retirement_savings_remaining,${amount} más necesarios para la jubilación
in_school_notice,En la escuela
unemployed_notice,Desempleado
game_over_warning,Tienes una gran deuda. Si tu deuda llega a ${amount} perderás la partida.
game_over_notice,Fin de la partida
game_over_debt,Has acumulado demasiadas deudas.
game_over_win,Has sobrevivido a la automatización y has conseguido jubilarte.
game_over_lose,No has ahorrado lo suficiente para jubilarte.
game_over_thanks,"Gracias por jugar a El mundo automatizado. Por favor, dedica un momento a responder a esta encuesta."
game_over_win_share,¡He escapado a la automatización en ü§ñ El mundo automatizado üåé!
game_over_lose_share,No he podido escapar a la automatización en ü§ñ El mundo automatizado üåé.
game_over_lose_summary_result,No lo has conseguido. {percent}El % de los jugadores tampoco lo consiguió.
game_over_win_summary_result,Lo has conseguido. {percent}El % de los jugadores también lo consiguió.
likert_0,Total desacuerdo
likert_1,Desacuerdo
likert_2,Neutro
likert_3,De acuerdo
likert_4,Totalmente de acuerdo
survey_age_label,Edad
survey_education_label,Nivel educativo
survey_occupation_label,Ocupación
survey_automation_society_question,¿Crees que la automatización beneficiará económicamente a la sociedad?
survey_automation_individual_question,¿Crees que la automatización beneficiará al bienestar individual?
survey_submitted,Se han enviado tus respuestas.
survey_submit_button,Enviar
robot_release,RoboCo saca al mercado {name}. Se distingue por {skills}.
robot_release_long,"Después de años de investigación y desarrollo, RoboCo ha sacado al mercado {name}. Se distingue por {skills}. Esto afectará a todos los trabajos que impliquen esta habilidad."
news_silence_note,Ocultar las próximas noticias. Seguirá habiendo notificaciones en la esquina inferior derecha.
birthday_title,¡Feliz {age}º cumpleaños!
birthday_body,"Estás a {yearsLeft} años de la jubilación. A este ritmo, para entonces habrás ahorrado ${estimate}."
inflation,Tus gastos de manutención han aumentado debido a la inflación.
hired,Has sido contratado como {name}.
rejected,Tu solicitud de trabajo como {name} ha sido rechazada debido a tu {mainFactor}.
deepening_automation,Los efectos de {name} en la productividad están por todos lados.
drop_out,Has dejado la escuela.
graduated,¡Felicidades! Te has graduado.
performance_terrible,Fatal
performance_bad,Mal
performance_mediocre,Mediocre
performance_good,Bien
performance_fantastic,Fantástico
performance,Rendimiento
work_button,Trabajo
low_risk_automation,riesgo bajo
mid_risk_automation,riesgo moderado
high_risk_automation,riesgo alto
low,bajo
moderate,moderado
high,alto
automated,Automatizado
percent_automated,automatizado
automation_risk,riesgo de automatización
improving_on_job,Mejorando en este trabajo
improving_skill,Mejorando la habilidad
important_skills,Habilidades importantes
your_skill_level,tu nivel de habilidad
your_skills,Tus habilidades
skills_info,Tus habilidades mejoran automáticamente con el tiempo cuando las utilizas para tus trabajos.
application_out,Solicitud enviada
past_job,trabajo pasado
current_job,trabajo actual
robot_maintenance,Mantenimiento de robot
percent_skills_automated,{percent}El % de las habilidades se han automatizado
Jan,Ene
Feb,Feb
Mar,Mar
Apr,Abr
May,Mayo
Jun,Jun
Jul,Jul
Aug,Ago
Sep,Sep
Oct,Oct
Nov,Nov
Dec,Dic
years_duration,{years} años
study_program,Estudiar {name}
already_enrolled,Ya estás inscrito.
