stat_age,Âge
stat_date,Date
stat_savings,Économies
stat_wage,Salaire mensuel
stat_education,Niveau d'éducation
stat_current_job,Emploi actuel
month_unit,mo
school_remaining,À l'école pendant plus de {months} mois
application_notice,Candidat à {name}
living_expenses,${amount} vivant
debt_expenses,${amount} dette
monthly_expenses,${amount}/par mois de dépenses
retirement_progress,Progression de la retraite
retirement_early,Retraite anticipée
retirement_early_tip,Avoir ${amount} d'économies pour prendre une retraite anticipée
retirement_remaining,{years} années avant la retraite
retirement_savings_remaining,${amount} de plus nécessaire pour la retraite
in_school_notice,À l'école
unemployed_notice,Sans emploi
game_over_warning,"Vous êtes très endetté. Si vous atteignez un endettement de ${amount}, vous perdrez le jeu."
game_over_notice,Game Over
game_over_debt,Vous avez accumulé trop de dettes.
game_over_win,Vous avez survécu avec succès à l'automatisation et vous êtes arrivé à la retraite.
game_over_lose,Vous n'avez pas été en mesure d'épargner suffisamment pour prendre votre retraite.
game_over_thanks,Merci d'avoir joué à The Automated Life. Merci de prendre un moment pour remplir ce sondage.
game_over_win_share,J'ai évité l'automatisation dans ü§ñ The Automated Life üåé!
game_over_lose_share,Je n'ai pas réussi à échapper à l'automatisation dans ü§ñ The Automated Life üåé.
game_over_lose_summary_result,Vous n'avez pas réussi. {percent}% des joueurs non plus.
game_over_win_summary_result,Vous avez réussi. {percent}% des joueurs aussi.
likert_0,Pas du tout d'accord
likert_1,Pas d'accord
likert_2,Neutre
likert_3,D'accord
likert_4,Tout à fait d'accord
survey_age_label,Âge
survey_education_label,Niveau d'éducation
survey_occupation_label,Profession
survey_automation_society_question,Pensez-vous que l'automatisation profitera économiquement à la société ?
survey_automation_individual_question,Pensez-vous que l'automatisation sera bénéfique pour le bien-être individuel ?
survey_submitted,Vos réponses ont été envoyées.
survey_submit_button,Soumettre
robot_release,RoboCo publie {name}. Il excelle à {skills}.
robot_release_long,"Après des années de recherche et de développement, RoboCo a publié {name}. Il excelle à {skills}. Tout emploi faisant appel à cette compétence sera touché."
news_silence_note,Cacher les actualités futures. Des notifications s'afficheront toujours en bas à droite.
birthday_title,Joyeux {age}e anniversaire !
birthday_body,"Il vous reste {yearsLeft} années avant la retraite. À ce rythme, vous économiserez ${estimate} d'ici là."
inflation,Vos frais de subsistance ont augmenté en raison de l'inflation.
hired,Vous avez été embauché en tant que {name}.
rejected,Votre candidature au poste de {name} a été rejetée en raison de votre {mainFactor}.
deepening_automation,Les effets de productivité de {name} sont répandus.
drop_out,Vous avez abandonné l'école.
graduated,Félicitations ! Vous avez obtenu votre diplôme.
performance_terrible,Affreux
performance_bad,Mauvais
performance_mediocre,Médiocre
performance_good,Bon
performance_fantastic,Fantastique
performance,Performance
work_button,Travail
low_risk_automation,risque faible
mid_risk_automation,risque moyen
high_risk_automation,haut risque
low,faible
moderate,modéré
high,élevé
automated,Automatisé
percent_automated,automatisé
automation_risk,risque lié à l'automatisation
improving_on_job,S'améliorer dans ce métier
improving_skill,Améliorer les compétences
important_skills,Compétences importantes
your_skill_level,votre niveau de compétence
your_skills,Vos compétences
skills_info,Vos compétences s'améliorent automatiquement au fil du temps à mesure que vous les utilisez pour vos emplois.
application_out,Candidature provenant de
past_job,Emploi précédent
current_job,Emploi actuel
robot_maintenance,Entretien de robot
percent_skills_automated,{percent}% des compétences ont été automatisées
Jan,Jan
Feb,Fév
Mar,Mar
Apr,Avr
May,Mai
Jun,Juin
Jul,Jui
Aug,Aoû
Sep,Sep
Oct,Oct
Nov,Nov
Dec,Déc
years_duration,{years} ans
study_program,Étude {name}
already_enrolled,Vous êtes déjà inscrit.
fully_educated,Le système éducatif vous a appris tout ce qu'il peut.
select_program,Sélectionnez un programme auquel vous voulez vous inscrire
loan_warning,"Vous n'avez pas les moyens d'aller à l'école. Si vous vous inscrivez, vous recevrez un prêt pour couvrir tous les frais selon les modalités suivantes"
interest_rate,Taux d'intérêt
loan_terms,"{rate}% fixe, sur {years} ans"
next_level,Niveau suivant
enroll_button,Inscrivez-vous
education_title,Éducation
cost_in_wages,{months} mois de salaire
school_cost,"Coût, y compris les frais de subsistance"
after_subsidy,Coût après subvention
subsidy_note,Vous bénéficiez d'une subvention à l'éducation qui couvre {subsidy}% de vos dépenses.
school_postsecondary_note,"Les diplômes post-secondaires n'ouvriront pas de nouvelles parties du graphique des emplois, mais ils faciliteront l'embauche pour des emplois plus avancés."
start_welcome,Bienvenue dans The Automated Life!
start_intro,Ce jeu est une exploration de la mobilité professionnelle contre la prolifération de l'automatisation. Votre premier emploi comporte un risque élevé d'automatisation. Essayez de vous retrouver dans un emploi relativement à l'abri de l'automatisation.
start_goal,Votre objectif est de prendre votre retraite à l'âge de {age} avec un pécule de ${savings}.
select_starting_job,Sélectionnez votre emploi de départ
select_starting_job_button,Sélectionner un emploi
notification_history_title,Historique
pause_button,Pause
start_button,Démarrer
resume_button,Reprendre
skills_button,Afficher les compétences
school_button,Aller à l'école
notification_history_button,Historique des notifications
hint_job_graph,"Voici le réseau de l'emploi. Les emplois sont reliés entre eux en fonction de la similitude de leurs compétences. Le nœud <b style='color:#fff;background:#0e55ef;'>bleu foncé</b> est votre travail actuel. <br /><br /><b style='color:#fff;background:#4fc6ea;'>bleu clair</b>Les nœuds  sont des emplois auxquels vous pouvez <b style='background:#f9ca2f;'>postuler</b> en <img src='/static/pointer.png' width='9px' />cliquant dessus (il faut {applicationMonths} mois pour obtenir une réponse). Vos chances d'être embauché dépendent de votre niveau de compétence, de votre niveau de scolarité et de votre rendement actuel au travail.<br /><br /><b style='color:#fff;background:#51728c;'>gris foncé</b>Les emplois  sont des emplois que vous avez occupés auparavant. Vous pouvez postuler de nouveau à tout moment.<br /><br /><img src='/static/cursor.png' width='7px' />Passez la souris sur un emploi pour voir ses besoins en compétences, son salaire mensuel, son risque d'automatisation et vos niveaux de compétences actuels."
hint_hud,"Ici, vous pouvez voir votre üéÇ âge actuel, vos üè économies, votre üí∏ revenu, vos dépenses, votre üéì niveau d'éducation, et votre üõ†Ô∏è emploi.<br /><br />Le menu <b style='color:#fff;background:#395be5;'>Compétences</b> vous montrera vos compétences, et le menu <b style='color:#fff;background:#395be5;'>École</b> est l'endroit où vous pouvez vous inscrire à l'école."
