key,en,es,es corrections,fr,fr corrections,zh corrections,ar,ar corrections,de,de corrections
next,Next,próximo,Próximo,Prochain,Suivant,下一个,التالى,التالى,Nächster,Nächste
skip_tutorial,Skip Tutorial,Saltar tutorial,Saltar tutorial,Passer le tutoriel,Passer le tutoriel,跳过教程,تخطي البرنامج التعليمي,تخطي الدليل التوجيهي,Lernprogramm überspringen,Einweisung überspringen
tutorial_welcome,Welcome to The Automated Life. This is your current job. You can <b>hover</b> over it for more details.,Bienvenido a La Vida automatizado. Este es su trabajo actual. Usted puede <b> vuelo estacionario </b> sobre ella para obtener más detalles.,Bienvenido a La Vida Automatizada. Este es su trabajo actual. Usted puede <b> vuelo estacionario </b> sobre ella para obtener más detalles.,Bienvenue à la vie automatisé. Ceci est votre emploi actuel. Vous pouvez <b> vol stationnaire </b> au-dessus pour plus de détails.,Bienvenue dans The Automated Life. Ceci est votre emploi actuel. Vous pouvez <b>le survoler avec votre souris</b> pour accéder à plus d'informations. ,欢迎到自“动化的生活”。这是你目前的工作。你可以<b>悬停在此</b>查看更多细节。,مرحبا بكم في الحياة الآلي. هذا هو وظيفتك الحالية. يمكنك <ب> تحوم </b> أكثر من ذلك لمزيد من التفاصيل.,مرحبا بكم في الحياة المؤتمتة. هذه هي وظيفتك الحالية. يمكنك <B> تمرير المؤشر </b> فوقها لمزيد من التفاصيل.,Willkommen in dem automatisierten Leben. Dies ist Ihre aktuelle Arbeit. Sie können <b> Hover </b> über sie für weitere Details.,"Willkommen in dem ""Automatisierten Leben"". Dies ist Ihre aktuelle Aufgabe (task). Sie können <b>mit der Maus darüber fahren</b>, um mehr Details zu erhalten."
tutorial_work,"To avoid being fired you need to do your job. <b>Click on ""Work"" tasks</b> according to the color pattern on the left.","Para evitar ser despedido lo que necesita para hacer su trabajo. <B> Haga clic en tareas de ""trabajo"" </b> de acuerdo con el patrón de color de la izquierda.","Para evitar ser despedido lo que necesita hacer es su trabajo. <B> Haga clic en tareas de ""trabajo"" </b> de acuerdo con el patrón de color de la izquierda.",Pour éviter d'être tiré que vous devez faire votre travail. <B> Cliquez sur les tâches « de travail » </b> selon le modèle de couleur sur la gauche.,"Pour éviter d'être licencié, vous devez faire votre travail. <b>Cliquez sur les tâches ""Travail""</b> selon le modèle de couleur sur la gauche. ",为了避免被解雇，你需要做你的工作。 根据左边的颜色模式<b>点击“工作”任务</b>。,"لتجنب أطلق كائن ما عليك القيام به وظيفتك. <ب> انقر على مهام ""العمل"" </b> وفقا للنمط اللون على اليسار.","لتجنب الفصل من العمل، يجب عليك القيام بوظيفتك . <B> انقر على مهام ""العمل"" </b> وفقا للنمط اللون على اليسار.","Um zu vermeiden, gefeuert Sie Ihren Job tun müssen. <B> Klicken Sie auf „Arbeit“ Aufgaben </b> nach dem Farbmuster auf der linken Seite.","Um zu vermeiden gefeuert zu werden, müssen Sie Ihre Aufgabe erledigen. <b>Klicken Sie auf ""Arbeit"" Aufgaben</b> entsprechend der Farbmuster auf der linken Seite."
tutorial_performance,Maintaining good <b>performance</b> also helps with applying to new jobs.,Mantener una buena <b> rendimiento </b> también ayuda con la aplicación de nuevos puestos de trabajo.,Mantener un buen <b> rendimiento </b> también ayuda para aplicar a nuevos puestos de trabajo.,Maintenir une bonne <b> performances </b> contribue également à l'application de nouveaux emplois.,Maintenir une bonne <b>performance de travail</b> aide également pour les candidatures à de nouveaux emplois. ,保持良好的<b>表现</b>也有助于申请新的就业机会。,الحفاظ على حسن <ب> الأداء </ ب> يساعد أيضا مع التقديم على الوظائف الجديدة.,إستمرارية  <B> الأداء </b>  الممتاز تساهم أيضا في التقديم على وظائف جديدة,Das Beibehalten der guten <b> Leistung </b> hilft auch neue Arbeitsplätze mit der Anwendung.,Das Aufrechterhalten einer guten <b>Leistung</b> hilft auch bei der Bewerbung auf neue Jobs.
tutorial_jobs,Your current job is connected to other jobs that you can <b>apply</b> to. Jobs you can apply to are connected by a <b>green line</b>.,Su trabajo actual está conectado a otros puestos de trabajo que se puede <b> solicite </b> a. Puestos de trabajo que se pueden aplicar a conectado por un <b> línea verde </b>.,"Su trabajo actual está conectado a otros puestos de trabajo que ser  <b> solicitar </b> a. Para saber que puestos de trabajo se pueden aplicar, estos estan conectado por una <b> línea verde </b>.",Votre emploi actuel est connecté à d'autres emplois que vous pouvez <b> appliquer </b>. Offres d'emploi vous pouvez appliquer à reliés par un <b> ligne verte </b>.,Votre emploi actuel est connecté à d'autres emplois auxquels vous pouvez <b>candidater</b>. Les emplois auxquels vous pouvez candidater sont connectés par une <b>ligne verte</b>. ,你目前的工作已经被连接到你可以<b>申请</b>的其它工作。你可以申请的工作用 <b>绿线</b>相连接。,يتم توصيل وظيفتك الحالية إلى وظائف أخرى أنه يمكنك <ب> تطبيق </b> ل. الوظائف التي يمكن أن تنطبق على متصلة بواسطة <ب> الخط الأخضر </b>.,وظيفتك الحالية متصلة مع وظائف أخرى بحيث يمكنك <b> التقديم عليها </b>.  يمكنك أن تقدم على الوظائف المتصلة بواسطة <b> الخط الأخضر </b>.,"Ihre aktuelle Arbeit an anderen Stellen verbunden, dass Sie <b> anwenden </b>. Jobs können Sie verbunden mit einer <b> grünen Linie </b> gelten.","Ihr aktueller Job steht in Verbindung mit anderen Stellen, auf die Sie <b>sich bewerben können</b>. Jobs, auf die Sie sich bewerben können, sind mit einer <b>grünen Linie</b> verbunden"
tutorial_apply,<b>Click</b> on a job to apply to it. The job you are currently applying to will be <b>highlighted in yellow</b>.,<B> Haga clic en </b> en un trabajo que se aplican a la misma. El trabajo que está solicitando actualmente que será <b> resaltado en amarillo </b>.,<b> Haga clic en </b>Para aplicar en un trabajo haga clic en el mismo. El trabajo que esté solicitando actualmente será <b> resaltado en amarillo </b>.,<B> Cliquez </b> sur un emploi à lui appliquer. Le poste que vous postulez actuellement sera <b> en jaune </b>.,<b>Cliquez</b> sur l'emploi auquel vous voulez candidater. L'emploi auquel vous candidatez sera <b>affiché en jaune</b>.,<b>点击</b>工作来申请它。目前你申请的工作将会<b>以黄色突出显示</b>。,<ب> انقر على </b> على وظيفة لتطبيق ذلك. فإن الوظيفة التي تتقدم حاليا لتكون <ب> باللون الأصفر </b>.,<ب> انقر </b> على وظيفة للتقديم عليها. الوظيفة التي تتقدم عليها حاليا ستكون <ب> باللون الأصفر </b>.,"<B> Klicken Sie auf </b> auf einen Job, um es anzuwenden. Die Arbeit, die Sie derzeit anwenden wird <b> gelb markiert </b>.","<b>Klicken Sie auf</b> einen Job, um sich darauf zu bewerben. Der Job, auf den Sie sich aktuell bewerben, erscheint in <b>gelb markiert</b>."
tutorial_skills,Jobs have different <b>skill and education requirements</b> that influence your chance of being hired. You can <b>hover over the job</b> to see these requirements.,Puestos de trabajo tienen diferentes <b> de habilidad y educación requisitos </b> que la influencia de su probabilidad de ser contratado. Usted puede <b> Pase el ratón sobre el trabajo </b> para ver estos requisitos.,Existen diferente puestos de trabajo <b> de habilidad y educación requisitos </b> para saber la probabilidad de ser contratado. Usted puede <b> Pase el ratón sobre el trabajo </b> para conocer estos requisitos.,Des emplois ont différents <b> compétences et les exigences de l'éducation </b> qui influencent vos chances d'être embauché. Vous pouvez <b> survolez le travail </b> pour voir ces exigences.,Les emplois ont des exigences différentes <b> en matière de compétences et d'éducation</b> qui influencent vos chances d'être embauché. Vous pouvez <b> survoler le poste</b> pour voir ces exigences.,不同工作有不同的<b>技能和教育程度的要求</b>，其将会影响你被雇用的机会。你可以<b>将鼠标悬停在任务</b>上查看这些要求。,وظائف لها متطلبات مختلفة <ب> المهارة والتعليم </b> أن تأثير فرصتك في التوظيف. يمكنك <ب> تحوم فوق المهمة </b> لرؤية هذه المتطلبات.,الوظائف لها متطلبات مختلفة من ناحية <B> المهارة والتعليم </b> التي تؤثرعلى فرصتك في التوظيف. يمكنك <b> تمرير المؤشر </b> فوقها لرؤية هذه المتطلبات.,"Jobs haben unterschiedliche <b> Können und Bildung Anforderungen </b>, die Einfluss auf Ihre Chancen, eingestellt zu werden. Sie können <b> schweben über den Job </b> um diese Anforderungen zu sehen.","Jobs haben unterschiedliche <b>Anforderungen hinsichtlich Kompetenzen und Erfahrungen</b>, die Ihre Chance auf eine Anstellung beeinflussen. Sie können <b>mit der Maus über den Job fahren</b>, um diese Anforderungen einzusehen."
tutorial_automation,"Over time skills will become <b>automated</b>, lowering wages. Try to be strategic about what jobs you apply to and try to <b>escape automation</b>.","Con el tiempo se convertirán en habilidades <b> automatizado </b>, salarios descenso. Trate de ser estratégico sobre qué puestos de trabajo que se aplican a y tratar de <b> escapar de automatización </b>.","Con el tiempo las habilidades se convertirán en  <b> automatizado </b>, salarios promedio. Trate de ser estratégico sobre qué puestos de trabajo se aplican y tratar de <b> escapar de automatización </b>.","Au fil du temps les compétences deviendront <b> automatique </b>, la baisse des salaires. Essayez d'être stratégiques sur les emplois que vous appliquez à et essayer de <b> échapper à l'automatisation </b>.","Avec le temps, les compétences deviendront <b>automatisées</b>, ce qui fera baisser les salaires. Essayez d'être stratégique quant aux emplois auxquels vous postulez et essayez <b> d'échapper à l'automatisation </b>.",随着时间的推移技能将被<b>自动化</b>，工资因此会降低。采取一些策略来决定申请哪些工作，并尝试<b>摆脱自动化</b>。,مع مرور الوقت سوف تصبح المهارات <ب> الآلي </b> والأجور وتخفيض. حاول أن تكون الاستراتيجية حول ما الوظائف التي تنطبق على ومحاولة <ب> الهروب الآلي </b>.,مع مرور الوقت سوف تصبح المهارات <B> مؤتمتة </b> وسيؤدي ذلك الى انخفاض في الاجور. حاول أن تكون استراتيجي حول الوظائف التي تقدم عليها في محاولة <B> الهروب من الأتمتة </b>.,"Im Laufe der Zeit werden Fähigkeiten werden <b> automatische </b>, Senkung der Löhne. Versuchen Sie, strategische, was Jobs, die Sie beziehen sich auf und versuchen, <b> entkommen Automation </b>.","Im Laufe der Zeit werden Aufgaben <b>mehr und mehr automatisiert</b>, was zu Lohnsenkungen führt. Planen Sie strategisch, auf welche Jobs Sie sich bewerben und versuchen Sie, von einer <b>Automatisierung</b> nicht betroffen zu sein."
tutorial_risk,You can view a job's <b>risk of automation</b> by <b>hovering</b> over it. Jobs that are <b>over 50% automated</b> will be marked with 🤖.,Se puede ver un trabajo's <b> riesgo de automatización </b> <b> cierne </b> sobre ella. Los trabajos que se <b> automatizado más del 50% </b> serán marcados con 🤖.,Se puede ver cuando un trabajo esta en 's <b> riesgo de automatización </b> <b> cierne </b> sobre ella. Los trabajos que muestren <b> automatizado por encima del 50% </b> serán marcados con 🤖.,Vous pouvez voir un emploi's <b> risque d'automatisation </b> par <b> vol stationnaire </b> dessus. Les emplois qui sont <b> plus de 50% automatisée </b> seront marqués par 🤖.,Vous pouvez visualiser le <b> risque d'automatisation </b> d'une profession en la survolant. Les emplois qui sont <b>automatisés à plus de 50 %</b> seront signalés par 🤖.,你可以将鼠标<b>悬停</b>在工作上来查看其<b>被自动化风险</b>。被<b> 自动化50％以上</b>的工作将标有🤖。,يمكنك عرض وظيفة \ 'ق <ب> مخاطر التشغيل الآلي </b> من خلال <ب> تحوم </b> أكثر من ذلك. الوظائف التي هي <ب> أكثر من 50٪ الآلي سيتم وضع علامة </b> مع 🤖.,يمكنك عرض <b> مخاطر الأتمتة </b> لوظيفة معينة من خلال <ب> تمرير المؤشر </b> فوقها. الوظائف التي تكون نسبة الأتمتة فيها <ب> أكثر من 50٪  </b> سيتم ترميزها مع الرمز 🤖.,"Sie können einen Job's <b> Risiko der Automatisierung anzuzeigen </b> von <b> Schweben </b> über sie. Jobs, die <b> über 50% automatisiert </b> wird mit 🤖 markiert werden.","Sie können das <b>Risiko einer Automatisierung einsehen</b>, indem Sie <b>mit der Maus über den Job fahren</b>. Jobs, die <b>über 50% automatisiert </b>sind, sind mit einem 🤖 markiert."
